GROGAN D,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff,gg,hh,ii
BIMS-5214-600,11,,0,,0,,0,,0,,,11,,4.0,,,False,,,False,,False,,,False,,,,False,,,11,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,0,,0,,0,,0,,,11,,4.0,,,False,,,False,,False,,,False,,,,False,,,11,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-5312-600,6,,1,,0,,0,,0,,,7,,3.857,,,False,,,False,,False,,,False,,,,False,,,7,,
,0.8571,,0.1429,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,1,,0,,0,,0,,,7,,3.857,,,False,,,False,,False,,,False,,,,False,,,7,,
,0.8571,,0.1429,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-5V04-600,15,,3,,0,,0,,0,,,18,,3.833,,,False,,,False,,False,,,False,,,,False,,,18,,
,0.8333,,0.1667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,3,,0,,0,,0,,,18,,3.833,,,False,,,False,,False,,,False,,,,False,,,18,,
,0.8333,,0.1667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-5V97-600,6,,0,,0,,0,,0,,,6,,4.0,,,False,,,False,,False,,,False,,,,False,,,6,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,0,,0,,0,,0,,,6,,4.0,,,False,,,False,,False,,,False,,,,False,,,6,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
RUEST L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WANG Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVOBODA K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,38,,4,,0,,0,,0,,,423.922,,,,,False,,,False,,False,,,False,,,,False,,,42,,
,0.9048,,0.0952,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL   INSTRUCTOR,,,
HPED-5225-600,21,,0,,0,,0,,0,,,21,,4.0,,1,,,,False,,,False,,,False,,0,,,22 KABANI F,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,21,,0,,0,,0,,0,,,21,,4.0,,1,,,,False,,,False,,,False,,0,,,22,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,21,,0,,0,,0,,0,,,21,,4.0,,1,,,,False,,,False,,,False,,0,,,22,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
