SCHNEIDERMAN E,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff,gg,hh,ii,jj,kk,ll,mm,nn
OBIO-621-600,,18,,,9,,,5,,0,,0,,,32,,3.406,,,False,,,False,,False,,,False,,,,False,,,32,,,,
,,0.5625,,,0.2813,,,0.1563,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,,9,,,5,,0,,0,,,32,,3.406,,,False,,,False,,False,,,False,,,,False,,,32,,,,
,,0.5625,,,0.2813,,,0.1563,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-632-600,,11,,,5,,,1,,0,,0,,,17,,3.588,,,False,,,False,,False,,,False,,,,False,,,17,,,,
,,0.6471,,,0.2941,,,0.0588,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,5,,,1,,0,,0,,,17,,3.588,,,False,,,False,,False,,,False,,,,False,,,17,,,,
,,0.6471,,,0.2941,,,0.0588,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-641-600,,1,,,4,,,1,,0,,0,,,6,,3.0,,,False,,,False,,False,,,False,,,,False,,,6,,,,
,,0.1667,,,0.6667,,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,,4,,,1,,0,,0,,,6,,3.0,,,False,,,False,,False,,,False,,,,False,,,6,,,,
,,0.1667,,,0.6667,,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-651-600,,8,,,0,,,0,,0,,0,,,8,,4.0,,,False,,,False,,False,,,False,,,,False,,,8,,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,,0,,,0,,0,,0,,,8,,4.0,,,False,,,False,,False,,,False,,,,False,,,8,,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-673-600,,11,,,0,,,0,,0,,0,,,11,,4.0,,,False,,,False,,False,,,False,,,,False,,,11,,,,
