SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,TOTAL,INSTRUCTOR,ee,ff
ANTH-205-101,,26,,12,,5,,0,,0,,,43,,3.488,,0,,,False,,False,,1,,0,,44,HOPKINS A,,
,,0.6047,,0.2791,,0.1163,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-205-201,,7,,6,,2,,0,,0,,,15,,3.333,,0,,,False,,False,,0,,0,,15,THAKAR H,,
,,0.4667,,0.4,,0.1333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,33,,18,,7,,0,,0,,,58,,3.448,,0,,,False,,False,,1,,0,,59,,,
,,0.569,,0.3103,,0.1207,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-324-100,,7,,6,,1,,0,,0,,,14,,3.428,,0,,,False,,False,,0,,0,,14,DEL CIAMPO,M,
,,0.5,,0.4286,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,6,,1,,0,,0,,,14,,3.428,,0,,,False,,False,,0,,0,,14,,,
,,0.5,,0.4286,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,40,,24,,8,,0,,0,,,72,,3.444,,0,,,False,,False,,1,,0,,73,,,
,,0.5556,,0.3333,,0.1111,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,,
FILM-356-200,,4,,1,,0,,0,,0,,,5,,3.8,,0,,,False,,False,,0,,0,,5,FRANCIS J,,
,,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,1,,0,,0,,0,,,5,,3.8,,0,,,False,,False,,0,,0,,5,,,
,,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
WGST-374-100,,4,,1,,0,,0,,0,,,5,,3.8,,0,,,False,,False,,0,,0,,5,AHN H,,
,,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,1,,0,,0,,0,,,5,,3.8,,0,,,False,,False,,0,,0,,5,,,
,,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,8,,2,,0,,0,,0,,,10,,3.8,,0,,,False,,False,,0,,0,,10,,,
,,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,,
