,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016 - COLLEGE STATION,,,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,
DEPARTMENT:,BIOMEDICAL SCIENCES,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
BIMS-5190-600,10,0,0,0,0,10 4.000,0,0,0,0,0,10,OPPERMAN L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,0,0,0,0,10 4.000,0,0,0,0,0,10,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-5222-600,16,16,3,0,0,35 3.371,0,0,0,0,0,35,SCHNEIDERMAN E
,45.71%,45.71%,8.57%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,16,3,0,0,35 3.371,0,0,0,0,0,35,
,45.71%,45.71%,8.57%,0.00%,0.00%,,,,,,,,,
BIMS-5V40-600,6,0,0,0,0,6 4.000,0,0,0,0,0,6,QIN C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6 4.000,0,0,0,0,0,6,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-5V75-600,11,5,2,0,0,18 3.500,0,0,0,0,0,18,BUSCHANG P
,61.11%,27.78%,11.11%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,5,2,0,0,18 3.500,0,0,0,0,0,18,
,61.11%,27.78%,11.11%,0.00%,0.00%,,,,,,,,,
BIMS-5V96-600,15,0,0,0,0,15 4.000,0,0,0,0,0,15,SVOBODA K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15 4.000,0,0,0,0,0,15,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
