SECTION,b,A,d,B,f,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,X,cc,TOTAL,INSTRUCTOR,ff,gg
OBIO-660-600,,18,,0,,,0,,0,,0,,,18,,4.0,,0,,,False,,False,,False,,0,,18,KABANI F,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,0,,,0,,0,,0,,,18,,4.0,,0,,,False,,False,,False,,0,,18,,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
OBIO-670-600,,10,,0,,,0,,0,,0,,,10,,4.0,,1,,,False,,False,,False,,0,,11,REUBEN J,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,0,,,0,,0,,0,,,10,,4.0,,1,,,False,,False,,False,,0,,11,,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
OBIO-672-600,,17,,0,,,0,,0,,0,,,17,,4.0,,0,,,False,,False,,False,,0,,17,WANG Q,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,0,,,0,,0,,0,,,17,,4.0,,0,,,False,,False,,False,,0,,17,,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,45,,0,,,0,,0,,0,,,45,,4.0,,1,,,False,,False,,False,,0,,46,,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,,
AEGD-600-600,,8,,0,,,0,,0,,0,,,8,,0.0,,0,,,False,,False,,False,,0,,8,ZANDINEJAD,A,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,0,,,0,,0,,0,,,8,,Error,,0,,,False,,False,,False,,0,,8,,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
AEGD-615-600,,8,,0,,,0,,0,,0,,,8,,4.0,,0,,,False,,False,,False,,0,,8,ZANDINEJAD,A,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,0,,,0,,0,,0,,,8,,4.0,,0,,,False,,False,,False,,0,,8,,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
AEGD-618-600,,8,,0,,,0,,0,,0,,,8,,4.0,,0,,,False,,False,,False,,0,,8,ZANDINEJAD,A,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,0,,,0,,0,,0,,,8,,4.0,,0,,,False,,False,,False,,0,,8,,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,24,,0,,,0,,0,,0,,,24,,4.0,,0,,,False,,False,,False,,0,,24,,,
,,1.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT:,DENTAL HYGIENE,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,,
DDHS-4110-500,,12,,16,,,1,,0,,0,,,29,,3.379,,0,,,False,,False,,False,,0,,29,GONZALEZ M,,
,,0.4138,,0.5517,,,0.0345,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,16,,,1,,0,,0,,,29,,3.379,,0,,,False,,False,,False,,0,,29,,,
,,0.4138,,0.5517,,,0.0345,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
DDHS-4510-500,,27,,2,,,0,,0,,0,,,29,,3.931,,0,,,False,,False,,False,,0,,29,PACE K,,
,,0.931,,0.069,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,2,,,0,,0,,0,,,29,,3.931,,0,,,False,,False,,False,,0,,29,,,
,,0.931,,0.069,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,39,,18,,,1,,0,,0,,,58,,3.655,,0,,,False,,False,,False,,0,,58,,,
,,0.6724,,0.3103,,,0.0172,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
