SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,F      A - F,m,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,dd,ee,X    TOTAL,gg,hh,ii,jj,INSTRUCTOR,ll,mm,nn
OBIO-610-600,,,8,,0,,,0,,0,,,0,,8,,,,4.0,,0,,,0,,,0,,,False,,,0,,8,,,SVOBODA K,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,0,,,0,,0,,,0,,8,,,,4.0,,0,,,0,,,0,,,False,,,0,,8,,,,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-612-600,,,5,,1,,,0,,0,,,0,,6,,,,3.833,,0,,,0,,,0,,,False,,,0,,6,,,OPPERMAN L,
,,,0.8333,,0.1667,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,5,,1,,,0,,0,,,0,,6,,,,3.833,,0,,,0,,,0,,,False,,,0,,6,,,,
,,,0.8333,,0.1667,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-621-600,,,21,,10,,,1,,0,,,0,,32,,,,3.625,,0,,,0,,,0,,,False,,,0,,32,,,SCHNEIDERMAN E,
,,,0.6563,,0.3125,,,0.0313,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,21,,10,,,1,,0,,,0,,32,,,,3.625,,0,,,0,,,0,,,False,,,0,,32,,,,
,,,0.6563,,0.3125,,,0.0313,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-632-600,,,8,,11,,,0,,0,,,0,,19,,,,3.421,,0,,,0,,,0,,,False,,,0,,19,,,BUSCHANG P,
,,,0.4211,,0.5789,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,11,,,0,,0,,,0,,19,,,,3.421,,0,,,0,,,0,,,False,,,0,,19,,,,
,,,0.4211,,0.5789,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-633-600,,,3,,3,,,0,,0,,,0,,6,,,,3.5,,0,,,0,,,0,,,False,,,0,,6,,,LIU X,
,,,0.5,,0.5,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,3,,3,,,0,,0,,,0,,6,,,,3.5,,0,,,0,,,0,,,False,,,0,,6,,,,
,,,0.5,,0.5,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-641-600,,,4,,1,,,0,,0,,,2,,7,,,,3.1,,0,,,0,,,0,,,False,,,0,,7,,,LIU X,
,,,0.5714,,0.1429,,,0.0,,0.0,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,4,,1,,,0,,0,,,2,,7,,,,3.1,,0,,,0,,,0,,,False,,,0,,7,,,,
,,,0.5714,,0.1429,,,0.0,,0.0,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
OBIO-673-600,,,10,,0,,,0,,0,,,0,,,10,,,4.0,,0,,,,False,,,False,,,False,,0,,10,,HONEYMAN A,,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,10,,0,,,0,,0,,,0,,,10,,,4.0,,0,,,,False,,,False,,,False,,0,,10,,,,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-687-600,,,6,,0,,,0,,0,,,0,,,6,,,4.0,,0,,,,False,,,False,,,False,,0,,6,,SVOBODA K,,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,6,,0,,,0,,0,,,0,,,6,,,4.0,,0,,,,False,,,False,,,False,,0,,6,,,,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,,65,,26,,,1,,0,,,2,,,94,,,3.681,,0,,,,False,,,False,,,False,,0,,94,,,,
,,,0.6915,,0.2766,,,0.0106,,0.0,,,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT:,,DENTAL HYGIENE,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
DDHS-3020-500,,,8,,18,,,2,,0,,,0,,,28,,,3.214,,0,,,,False,,,False,,,False,,0,,28,,COTTER J,,
,,,0.2857,,0.6429,,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,18,,,2,,0,,,0,,,28,,,3.214,,0,,,,False,,,False,,,False,,0,,28,,,,
,,,0.2857,,0.6429,,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3220-500,,,21,,7,,,0,,0,,,0,,,28,,,3.75,,0,,,,False,,,False,,,False,,0,,28,,LIANG H,,
,,,0.75,,0.25,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,21,,7,,,0,,0,,,0,,,28,,,3.75,,0,,,,False,,,False,,,False,,0,,28,,,,
,,,0.75,,0.25,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
