,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,
,,,,,Professional Medicine,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,,
,,,,,TOTAL,,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------,
MEID-701-300,10,42,0,0,52,3.192,0,0,0,0,52,CANNADAY R
,19.23%,80.77%,0.00%,0.00%,,,,,,,,,
MEID-701-301,7,39,0,0,46,3.152,0,0,0,0,46,CANNADAY R
,15.22%,84.78%,0.00%,0.00%,,,,,,,,,
MEID-701-302,2,24,0,1,27,2.962,0,0,0,0,27,CANNADAY R
,7.41%,88.89%,0.00%,3.70%,,,,,,,,,
MEID-701-303,8,49,0,0,57,3.14,0,0,0,0,57,CANNADAY R
,14.04%,85.96%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,27,154,0,1,182,3.131,0,0,0,0,182,,
,14.84%,84.62%,0.00%,0.55%,,,,,,,,,
MEID-704-300,8,40,0,4,52,2.923,0,0,0,0,52,JONES K
,15.38%,76.92%,0.00%,7.69%,,,,,,,,,
MEID-704-301,7,39,0,0,46,3.152,0,0,0,0,46,JONES K
,15.22%,84.78%,0.00%,0.00%,,,,,,,,,
MEID-704-302,3,23,0,1,27,3,0,0,0,0,27,JONES K
,11.11%,85.19%,0.00%,3.70%,,,,,,,,,
MEID-704-303,11,46,0,0,57,3.192,0,0,0,0,57,JONES K
,19.30%,80.70%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,29,148,0,5,182,3.076,0,0,0,0,182,,
,15.93%,81.32%,0.00%,2.75%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DEPARTMENT TOTAL:,56,302,0,6,364,3.104,0,0,0,0,364,
,15.38%,82.97%,0.00%,1.65%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,FAMILY & COMMUNITY MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MFCM-800-35D,0,7,0,0,7,3,1,0,0,0,8,VIA R
,0.00%,100,0.00%,0.00%,,,,,,,,
MFCM-800-35H,0,5,0,0,5,3,0,0,0,0,5,VIA R
,0.00%,100,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,0,12,0,0,12,3,1,0,0,0,13,
,0.00%,100,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,0,12,0,0,12,3,1,0,0,0,13,
,0.00%,100,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,INTERNAL MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
IMED-800-33D,1,12,0,0,13,3.076,1,0,0,0,14,PIERATT W
,7.69%,92.31%,0.00%,0.00%,,,,,,,,
IMED-800-33H,0,9,0,0,9,3,2,0,0,0,11,PIERATT W
,0.00%,100,0.00%,0.00%,,,,,,,,
IMED-800-33R,2,5,0,0,7,3.285,0,0,0,0,7,PIERATT W
,28.57%,71.43%,0.00%,0.00%,,,,,,,,
IMED-800-33T,1,14,0,0,15,3.066,0,0,0,0,15,PIERATT W
,6.67%,93.33%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,4,40,0,0,44,3.09,3,0,0,0,47,
,9.09%,90.91%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,4,40,0,0,44,3.09,3,0,0,0,47,
,9.09%,90.91%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,
,,,,,Professional Medicine,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,,
DEPARTMENT:,OBSTETRICS & GYNECOLOGY,,,,,,,,,,,,
,,,,,TOTAL,,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------,
OBGY-800-35D,3,4,0,0,7,3.428,1,0,0,0,8,BROWNING A
,42.86%,57.14%,0.00%,0.00%,,,,,,,,,
OBGY-800-35H,1,4,0,0,5,3.2,0,0,0,0,5,BROWNING A
,20.00%,80.00%,0.00%,0.00%,,,,,,,,,
OBGY-800-35R,0,6,0,0,6,3,0,0,0,0,6,BROWNING A
,0.00%,100,0.00%,0.00%,,,,,,,,,
OBGY-800-35T,1,6,0,0,7,3.142,0,0,0,0,7,BROWNING A
,14.29%,85.71%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,20,0,0,25,3.2,1,0,0,0,26,,
,20.00%,80.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,5,20,0,0,25,3.2,1,0,0,0,26,,
,20.00%,80.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,PEDIATRICS,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MPED-800-35T,1,6,0,0,7,3.142,0,0,0,0,7,PARR J
,14.29%,85.71%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,1,6,0,0,7,3.142,0,0,0,0,7,
,14.29%,85.71%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,1,6,0,0,7,3.142,0,0,0,0,7,
,14.29%,85.71%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,
,,,,,Professional Medicine,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,,
DEPARTMENT:,PSYCHIATRY & BEHAVIORAL SC,,,,,,,,,,,,
,,,,,TOTAL,,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------,
MPSY-800-35H,1,4,0,0,5,3.2,0,0,0,0,5,MCLAUGHLIN D
,20.00%,80.00%,0.00%,0.00%,,,,,,,,,
MPSY-800-35T,1,4,0,0,5,3.2,0,0,0,0,5,MCLAUGHLIN D
,20.00%,80.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,8,0,0,10,3.2,0,0,0,0,10,,
,20.00%,80.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,2,8,0,0,10,3.2,0,0,0,0,10,,
,20.00%,80.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,SURGERY,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
SURG-800-33D,4,6,0,0,10,3.4,1,0,0,0,11,LITTLE D
,40.00%,60.00%,0.00%,0.00%,,,,,,,,
SURG-800-33H,2,4,0,0,6,3.333,0,0,0,0,6,LITTLE D
,33.33%,66.67%,0.00%,0.00%,,,,,,,,
SURG-800-33R,1,8,0,0,9,3.111,0,0,0,0,9,LITTLE D
,11.11%,88.89%,0.00%,0.00%,,,,,,,,
SURG-800-33T,3,13,0,0,16,3.187,0,0,0,0,16,LITTLE D
,18.75%,81.25%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,10,31,0,0,41,3.243,1,0,0,0,42,
,24.39%,75.61%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,10,31,0,0,41,3.243,1,0,0,0,42,
,24.39%,75.61%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,78,419,0,6,503,3.134,6,0,0,0,509,
,15.51%,83.30%,0.00%,1.19%,,,,,,,,
