,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,,Professional Dentistry,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DDDS-7420-300,26,23,30,10,12,1,0,102,3.181,0,0,0,0,102,HONEYMAN A
,25.49%,22.55%,29.41%,9.80%,11.76%,0.98%,0.00%,,,,,,,,
COURSE TOTAL:,26,23,30,10,12,1,0,102,3.181,0,0,0,0,102,
,25.49%,22.55%,29.41%,9.80%,11.76%,0.98%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,26,23,30,10,12,1,0,102,3.181,0,0,0,0,102,
,25.49%,22.55%,29.41%,9.80%,11.76%,0.98%,0.00%,,,,,,,,
COLLEGE TOTAL:,26,23,30,10,12,1,0,102,3.181,0,0,0,0,102,
,25.49%,22.55%,29.41%,9.80%,11.76%,0.98%,0.00%,,,,,,,,
