,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,
DEPARTMENT:,HLTH PROMOTION & COMM HLTH SCI,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
HPCH-603-698,17,4,0,0,0,21,3.809,0,0,0,0,21,TAI-SEALE T
,80.95%,19.05%,0.00%,0.00%,0.00%,,,,,,,,
HPCH-603-699,24,16,0,0,0,40,3.6,0,0,0,0,40,TAI-SEALE T
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,41,20,0,0,0,61,3.672,0,0,0,0,61,
,67.21%,32.79%,0.00%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,41,20,0,0,0,61,3.672,0,0,0,0,61,
,67.21%,32.79%,0.00%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,41,20,0,0,0,61,3.672,0,0,0,0,61,
,67.21%,32.79%,0.00%,0.00%,0.00%,,,,,,,,
