,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,ASSOC PROVOST FOR UG STUDIES,,,,,,,,,,,,,
DEPARTMENT:,AP-UNDERGRAD STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
UGST-492-300,17,1,1,1,0,20,3.7,0,0,0,0,0,20,HARPER K
,85.00%,5.00%,5.00%,5.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,1,1,1,0,20,3.7,0,0,0,0,0,20,
,85.00%,5.00%,5.00%,5.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,17,1,1,1,0,20,3.7,0,0,0,0,0,20,
,85.00%,5.00%,5.00%,5.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,17,1,1,1,0,20,3.7,0,0,0,0,0,20,
,85.00%,5.00%,5.00%,5.00%,0.00%,,,,,,,,,
