,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,,GRADE DISTRIBUTION REPORT FOR,,,,,,,,,
COLLEGE:,,,,,,,,,,,,,,
DEPARTMENT:,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
,0,0,0,0,0,0,,0,0,0,0,0,0,
,Cannot,Cannot,Cannot,Cannot,Cannot,,,,,,,,,
DEPARTMENT TOTAL:,0,0,0,0,0,0,Error,0,0,0,0,0,0,
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,0,0,0,0,0,0,Error,0,0,0,0,0,0,
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
