,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,
DEPARTMENT:,MULTIDISCIPLINARY ENGINEERING,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
ENGR-689-30H,0,0,0,0,34,3.852,0,0,0,0,34,ROBBINS A
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,0,0,0,0,34,3.852,0,0,0,0,34,
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
ITDE-614-30H,0,0,0,0,59,4,0,0,0,0,59,SEARS N
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,0,0,0,0,59,4,0,0,0,0,59,
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,0,0,0,0,93,3.906,0,0,0,0,93,
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,0,0,0,0,93,3.906,0,0,0,0,93,
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
IMED-800-310,2,20,0,0,22,3.09,20,0,0,0,42,CLEWING J
,9.09%,90.91%,0.00%,0.00%,,,,,,,,
IMED-800-31D,2,7,0,0,9,3.222,1,0,0,0,10,CLEWING J
,22.22%,77.78%,0.00%,0.00%,,,,,,,,
IMED-800-31H,0,15,0,0,15,3,0,0,0,0,15,CLEWING J
,0.00%,100,0.00%,0.00%,,,,,,,,
IMED-800-31T,1,8,0,0,9,3.111,3,0,0,0,12,CLEWING J
,11.11%,88.89%,0.00%,0.00%,,,,,,,,
IMED-800-32D,0,6,0,0,6,3,0,0,0,0,6,CLEWING J
,0.00%,100,0.00%,0.00%,,,,,,,,
IMED-800-32H,0,8,0,0,8,3,0,0,0,0,8,CLEWING J
,0.00%,100,0.00%,0.00%,,,,,,,,
IMED-800-32T,2,5,0,0,7,3.285,0,0,0,0,7,CLEWING J
,28.57%,71.43%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,7,69,0,0,76,3.092,24,0,0,0,100,
,9.21%,90.79%,0.00%,0.00%,,,,,,,,
MEID-608-300,23,121,0,0,144,3.159,0,0,0,0,144,WINZER-SERHAN U
,15.97%,84.03%,0.00%,0.00%,,,,,,,,
MEID-608-30H,5,29,0,0,34,3.147,0,0,0,0,34,TSAI R
,14.71%,85.29%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,28,150,0,0,178,3.157,0,0,0,0,178,
,15.73%,84.27%,0.00%,0.00%,,,,,,,,
MEID-609-300,22,120,0,2,144,3.111,0,0,0,0,144,WELLS G
,15.28%,83.33%,0.00%,1.39%,,,,,,,,
MEID-609-30H,5,29,0,0,34,3.147,0,0,0,0,34,MOCZYGEMBA M
,14.71%,85.29%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
COURSE TOTAL:,27,149,0,2,178,3.117,0,0,0,0,178,
,15.17%,83.71%,0.00%,1.12%,,,,,,,,
MEID-616-300,22,119,0,2,143,3.111,1,0,0,0,144,HEIN T
,15.38%,83.22%,0.00%,1.40%,,,,,,,,
MEID-616-30H,5,28,0,0,33,3.151,1,0,0,0,34,TONG C
