,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,RANGEL COLL OF PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-602-300,64,0,0,0,0,64,0,0,0,0,0,64,ABU BAKER A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-602-301,43,0,0,0,0,43,0,0,0,0,0,43,ABU BAKER A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,107,0,0,0,0,107,Error,0,0,0,0,107,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-606-300,45,16,3,0,0,64,3.656,0,0,0,0,64,JOSEPH M
,70.31%,25.00%,4.69%,0.00%,0.00%,,,,,,,,
PHAR-606-301,36,6,1,0,0,43,3.813,0,0,0,0,43,JOSEPH M
,83.72%,13.95%,2.33%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,81,22,4,0,0,107,3.719,0,0,0,0,107,
,75.70%,20.56%,3.74%,0.00%,0.00%,,,,,,,,
PHAR-611-300,14,24,23,3,0,64,2.765,0,0,0,0,64,ALYISMAIL H
,21.88%,37.50%,35.94%,4.69%,0.00%,,,,,,,,
PHAR-611-301,16,18,9,0,0,43,3.162,0,0,0,0,43,ALYISMAIL H
,37.21%,41.86%,20.93%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,30,42,32,3,0,107,2.925,0,0,0,0,107,
,28.04%,39.25%,29.91%,2.80%,0.00%,,,,,,,,
PHAR-628-300,35,29,0,0,0,64,3.546,0,0,0,0,64,ZHONG L
,54.69%,45.31%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-628-301,33,9,1,0,0,43,3.744,0,0,0,0,43,ZHONG L
,76.74%,20.93%,2.33%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,68,38,1,0,0,107,3.626,0,0,0,0,107,
,63.55%,35.51%,0.93%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,RANGEL COLL OF PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-642-300,13,34,10,6,1,64,2.812,0,0,0,0,64,NUTAN M
,20.31%,53.13%,15.63%,9.38%,1.56%,,,,,,,,
PHAR-642-301,9,30,3,1,0,43,3.093,0,0,0,0,43,NUTAN M
,20.93%,69.77%,6.98%,2.33%,0.00%,,,,,,,,
COURSE TOTAL:,22,64,13,7,1,107,2.925,0,0,0,0,107,
,20.56%,59.81%,12.15%,6.54%,0.93%,,,,,,,,
PHAR-657-300,57,7,0,0,0,64,3.89,0,0,0,0,64,NORTH F
,89.06%,10.94%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-657-301,42,1,0,0,0,43,3.976,0,0,0,0,43,NORTH F
,97.67%,2.33%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,99,8,0,0,0,107,3.925,0,0,0,0,107,
,92.52%,7.48%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-658-300,15,32,17,0,0,64,2.968,0,0,0,0,64,HERNANDEZ J
,23.44%,50.00%,26.56%,0.00%,0.00%,,,,,,,,
PHAR-658-301,18,17,8,0,0,43,3.232,0,0,0,0,43,HERNANDEZ J
,41.86%,39.53%,18.60%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,33,49,25,0,0,107,3.074,0,0,0,0,107,
,30.84%,45.79%,23.36%,0.00%,0.00%,,,,,,,,
PHAR-673-300,23,35,6,0,0,64,3.265,0,0,0,0,64,PHO V
,35.94%,54.69%,9.38%,0.00%,0.00%,,,,,,,,
PHAR-673-301,16,25,2,0,0,43,3.325,0,0,0,0,43,PHO V
