,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2021-2022,,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VMID-944-301,55,92,12,0,0,159,3.27,0,0,0,0,0,159,CERFOGLI J
,34.59%,57.86%,7.55%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,55,92,12,0,0,159,3.27,0,0,0,0,0,159,
,34.59%,57.86%,7.55%,0.00%,0.00%,,,,,,,,,
VMID-964-300,132,10,0,0,0,142,3.929,0,0,0,0,0,142,TAYCE J
,92.96%,7.04%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,132,10,0,0,0,142,3.929,0,0,0,0,0,142,
,92.96%,7.04%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-966-300,70,68,3,0,0,141,3.475,0,0,0,0,0,141,SCALLAN E
,49.65%,48.23%,2.13%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,70,68,3,0,0,141,3.475,0,0,0,0,0,141,
,49.65%,48.23%,2.13%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,257,170,15,0,0,442,3.514,0,0,0,0,0,442,
,58.14%,38.46%,3.39%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2021-2022,,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,VET INTEGRATIVE BIOSCIENCES,,,,,TOTAL,,,,,,,,
