,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2018-2019,,,,,,,,,,,,
,,,,,,Professional Dentistry,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DDDS-6510-300,62,15,19,2,7,0,0,105,3.585,0,0,0,0,105,GROPPE J
,59.05%,14.29%,18.10%,1.90%,6.67%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,62,15,19,2,7,0,0,105,3.585,0,0,0,0,105,
,59.05%,14.29%,18.10%,1.90%,6.67%,0.00%,0.00%,,,,,,,,
DDDS-6540-300,14,21,29,14,21,4,2,105,2.833,0,0,0,0,105,MCDONALD S
,13.33%,20.00%,27.62%,13.33%,20.00%,3.81%,1.90%,,,,,,,,
COURSE TOTAL:,14,21,29,14,21,4,2,105,2.833,0,0,0,0,105,
,13.33%,20.00%,27.62%,13.33%,20.00%,3.81%,1.90%,,,,,,,,
DDDS-6543-300,8,21,52,15,8,1,0,105,3.009,0,0,0,0,105,MCDONALD S
,7.62%,20.00%,49.52%,14.29%,7.62%,0.95%,0.00%,,,,,,,,
COURSE TOTAL:,8,21,52,15,8,1,0,105,3.009,0,0,0,0,105,
,7.62%,20.00%,49.52%,14.29%,7.62%,0.95%,0.00%,,,,,,,,
DDDS-6600-300,23,14,31,18,13,4,2,105,2.942,0,0,0,0,105,SVOBODA K
,21.90%,13.33%,29.52%,17.14%,12.38%,3.81%,1.90%,,,,,,,,
COURSE TOTAL:,23,14,31,18,13,4,2,105,2.942,0,0,0,0,105,
,21.90%,13.33%,29.52%,17.14%,12.38%,3.81%,1.90%,,,,,,,,
DDDS-6640-300,38,16,31,9,10,0,1,105,3.271,0,0,0,0,105,WANG Q
,36.19%,15.24%,29.52%,8.57%,9.52%,0.00%,0.95%,,,,,,,,
COURSE TOTAL:,38,16,31,9,10,0,1,105,3.271,0,0,0,0,105,
,36.19%,15.24%,29.52%,8.57%,9.52%,0.00%,0.95%,,,,,,,,
DDDS-6660-300,33,7,24,20,19,1,1,105,3.023,0,0,0,0,105,BUSCHANG P
,31.43%,6.67%,22.86%,19.05%,18.10%,0.95%,0.95%,,,,,,,,
COURSE TOTAL:,33,7,24,20,19,1,1,105,3.023,0,0,0,0,105,
,31.43%,6.67%,22.86%,19.05%,18.10%,0.95%,0.95%,,,,,,,,
,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2018-2019,,,,,,,,,,,,
,,,,,,Professional Dentistry,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DDDS-6690-300,103,2,0,0,0,0,0,105,3.99,0,0,0,0,105,JONES D
,98.10%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,103,2,0,0,0,0,0,105,3.99,0,0,0,0,105,
,98.10%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-6730-300,92,12,1,0,0,0,0,105,3.933,0,0,0,0,105,COBB S
,87.62%,11.43%,0.95%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,92,12,1,0,0,0,0,105,3.933,0,0,0,0,105,
,87.62%,11.43%,0.95%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-6740-300,8,4,30,21,19,16,7,105,2.309,0,0,0,0,105,HONEYMAN A
,7.62%,3.81%,28.57%,20.00%,18.10%,15.24%,6.67%,,,,,,,,
COURSE TOTAL:,8,4,30,21,19,16,7,105,2.309,0,0,0,0,105,
,7.62%,3.81%,28.57%,20.00%,18.10%,15.24%,6.67%,,,,,,,,
DDDS-7080-300,100,1,2,0,0,0,0,103,3.975,1,0,0,0,104,GANNAWAY M
,97.09%,0.97%,1.94%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,100,1,2,0,0,0,0,103,3.975,1,0,0,0,104,
,97.09%,0.97%,1.94%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-7100-300,40,19,41,3,1,0,0,104,3.451,0,0,0,0,104,MASH L
,38.46%,18.27%,39.42%,2.88%,0.96%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,40,19,41,3,1,0,0,104,3.451,0,0,0,0,104,
,38.46%,18.27%,39.42%,2.88%,0.96%,0.00%,0.00%,,,,,,,,
DDDS-7104-300,25,25,43,9,2,0,0,104,3.298,0,0,0,0,104,MASH L
,24.04%,24.04%,41.35%,8.65%,1.92%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,25,25,43,9,2,0,0,104,3.298,0,0,0,0,104,
,24.04%,24.04%,41.35%,8.65%,1.92%,0.00%,0.00%,,,,,,,,
,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2018-2019,,,,,,,,,,,,
,,,,,,Professional Dentistry,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DDDS-7140-300,85,4,11,3,1,0,0,104,3.812,0,0,0,0,104,HENNESSY B
,81.73%,3.85%,10.58%,2.88%,0.96%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,85,4,11,3,1,0,0,104,3.812,0,0,0,0,104,
,81.73%,3.85%,10.58%,2.88%,0.96%,0.00%,0.00%,,,,,,,,
DDDS-7170-300,38,18,34,10,3,1,0,104,3.355,0,0,0,0,104,LIANG H
,36.54%,17.31%,32.69%,9.62%,2.88%,0.96%,0.00%,,,,,,,,
COURSE TOTAL:,38,18,34,10,3,1,0,104,3.355,0,0,0,0,104,
,36.54%,17.31%,32.69%,9.62%,2.88%,0.96%,0.00%,,,,,,,,
DDDS-7290-300,41,11,22,13,14,2,1,104,3.182,0,0,0,0,104,REUBEN J
,39.42%,10.58%,21.15%,12.50%,13.46%,1.92%,0.96%,,,,,,,,
COURSE TOTAL:,41,11,22,13,14,2,1,104,3.182,0,0,0,0,104,
,39.42%,10.58%,21.15%,12.50%,13.46%,1.92%,0.96%,,,,,,,,
DDDS-8060-300,14,11,35,14,15,4,6,99,2.712,0,0,0,0,99,SCHWEITZER J
,14.14%,11.11%,35.35%,14.14%,15.15%,4.04%,6.06%,,,,,,,,
COURSE TOTAL:,14,11,35,14,15,4,6,99,2.712,0,0,0,0,99,
,14.14%,11.11%,35.35%,14.14%,15.15%,4.04%,6.06%,,,,,,,,
