,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
IMED-800-30B,0,13,0,0,13,3,0,0,0,0,13,PIERATT W
,0.00%,100,0.00%,0.00%,,,,,,,,
IMED-800-33D,2,11,0,0,13,3.153,0,0,0,0,13,PIERATT W
,15.38%,84.62%,0.00%,0.00%,,,,,,,,
IMED-800-33H,1,7,0,0,8,3.125,0,0,0,0,8,PIERATT W
,12.50%,87.50%,0.00%,0.00%,,,,,,,,
IMED-800-33R,1,5,0,0,6,3.166,0,0,0,0,6,PIERATT W
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
IMED-800-33T,2,14,0,0,16,3.125,0,0,0,0,16,PIERATT W
,12.50%,87.50%,0.00%,0.00%,,,,,,,,
IMED-800-34D,1,10,0,0,11,3.09,1,0,0,0,12,PIERATT W
,9.09%,90.91%,0.00%,0.00%,,,,,,,,
IMED-800-34H,0,6,0,0,6,3,1,0,0,1,8,PIERATT W
,0.00%,100,0.00%,0.00%,,,,,,,,
IMED-800-34R,0,6,0,0,6,3,1,0,0,0,7,PIERATT W
,0.00%,100,0.00%,0.00%,,,,,,,,
IMED-800-34T,2,13,0,0,15,3.133,1,0,0,0,16,PIERATT W
,13.33%,86.67%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,9,85,0,0,94,3.095,4,0,0,1,99,
,9.57%,90.43%,0.00%,0.00%,,,,,,,,
MEID-605-300,4,120,0,11,135,2.785,0,0,0,0,135,CHICO D
,2.96%,88.89%,0.00%,8.15%,,,,,,,,
COURSE TOTAL:,4,120,0,11,135,2.785,0,0,0,0,135,
,2.96%,88.89%,0.00%,8.15%,,,,,,,,
MEID-606-300,19,110,1,1,131,3.106,0,0,0,0,131,MAXWELL S
,14.50%,83.97%,0.76%,0.76%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
