,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2018-2019,,,,,,,,,,,,
,,,,,,Professional Dentistry,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DDDS-6510-300,62,15,19,2,7,0,0,105,3.585,0,0,0,0,105,GROPPE J
,59.05%,14.29%,18.10%,1.90%,6.67%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,62,15,19,2,7,0,0,105,3.585,0,0,0,0,105,
,59.05%,14.29%,18.10%,1.90%,6.67%,0.00%,0.00%,,,,,,,,
DDDS-6520-300,59,25,18,1,0,0,0,103,3.689,0,0,0,0,103,NOUREL-DIN A
,57.28%,24.27%,17.48%,0.97%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,59,25,18,1,0,0,0,103,3.689,0,0,0,0,103,
,57.28%,24.27%,17.48%,0.97%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-6540-300,14,21,29,14,21,4,2,105,2.833,0,0,0,0,105,MCDONALD S
,13.33%,20.00%,27.62%,13.33%,20.00%,3.81%,1.90%,,,,,,,,
COURSE TOTAL:,14,21,29,14,21,4,2,105,2.833,0,0,0,0,105,
,13.33%,20.00%,27.62%,13.33%,20.00%,3.81%,1.90%,,,,,,,,
DDDS-6543-300,8,21,52,15,8,1,0,105,3.009,0,0,0,0,105,MCDONALD S
,7.62%,20.00%,49.52%,14.29%,7.62%,0.95%,0.00%,,,,,,,,
COURSE TOTAL:,8,21,52,15,8,1,0,105,3.009,0,0,0,0,105,
,7.62%,20.00%,49.52%,14.29%,7.62%,0.95%,0.00%,,,,,,,,
DDDS-6580-300,61,30,11,1,0,0,0,103,3.733,0,0,0,0,103,CRAMER G
,59.22%,29.13%,10.68%,0.97%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,61,30,11,1,0,0,0,103,3.733,0,0,0,0,103,
,59.22%,29.13%,10.68%,0.97%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-6600-300,23,14,31,18,13,4,2,105,2.942,0,0,0,0,105,SVOBODA K
,21.90%,13.33%,29.52%,17.14%,12.38%,3.81%,1.90%,,,,,,,,
COURSE TOTAL:,23,14,31,18,13,4,2,105,2.942,0,0,0,0,105,
,21.90%,13.33%,29.52%,17.14%,12.38%,3.81%,1.90%,,,,,,,,
,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2018-2019,,,,,,,,,,,,
,,,,,,Professional Dentistry,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DDDS-6640-300,38,16,31,9,10,0,1,105,3.271,0,0,0,0,105,WANG Q
,36.19%,15.24%,29.52%,8.57%,9.52%,0.00%,0.95%,,,,,,,,
COURSE TOTAL:,38,16,31,9,10,0,1,105,3.271,0,0,0,0,105,
,36.19%,15.24%,29.52%,8.57%,9.52%,0.00%,0.95%,,,,,,,,
DDDS-6660-300,33,7,24,20,19,1,1,105,3.023,0,0,0,0,105,BUSCHANG P
,31.43%,6.67%,22.86%,19.05%,18.10%,0.95%,0.95%,,,,,,,,
COURSE TOTAL:,33,7,24,20,19,1,1,105,3.023,0,0,0,0,105,
,31.43%,6.67%,22.86%,19.05%,18.10%,0.95%,0.95%,,,,,,,,
DDDS-6690-300,103,2,0,0,0,0,0,105,3.99,0,0,0,0,105,JONES D
,98.10%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,103,2,0,0,0,0,0,105,3.99,0,0,0,0,105,
,98.10%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-6730-300,92,12,1,0,0,0,0,105,3.933,0,0,0,0,105,COBB S
,87.62%,11.43%,0.95%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,92,12,1,0,0,0,0,105,3.933,0,0,0,0,105,
,87.62%,11.43%,0.95%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-6740-300,8,4,30,21,19,16,7,105,2.309,0,0,0,0,105,HONEYMAN A
,7.62%,3.81%,28.57%,20.00%,18.10%,15.24%,6.67%,,,,,,,,
COURSE TOTAL:,8,4,30,21,19,16,7,105,2.309,0,0,0,0,105,
,7.62%,3.81%,28.57%,20.00%,18.10%,15.24%,6.67%,,,,,,,,
DDDS-6770-300,15,16,34,19,17,2,0,103,2.927,0,0,0,0,103,BENSON M
,14.56%,15.53%,33.01%,18.45%,16.50%,1.94%,0.00%,,,,,,,,
COURSE TOTAL:,15,16,34,19,17,2,0,103,2.927,0,0,0,0,103,
,14.56%,15.53%,33.01%,18.45%,16.50%,1.94%,0.00%,,,,,,,,
,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2018-2019,,,,,,,,,,,,
,,,,,,Professional Dentistry,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DDDS-6800-300,18,18,33,14,14,6,0,103,2.941,0,0,0,0,103,MCDONALD S
,17.48%,17.48%,32.04%,13.59%,13.59%,5.83%,0.00%,,,,,,,,
COURSE TOTAL:,18,18,33,14,14,6,0,103,2.941,0,0,0,0,103,
,17.48%,17.48%,32.04%,13.59%,13.59%,5.83%,0.00%,,,,,,,,
DDDS-6804-300,95,6,2,0,0,0,0,103,3.951,0,0,0,0,103,MCDONALD S
,92.23%,5.83%,1.94%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,95,6,2,0,0,0,0,103,3.951,0,0,0,0,103,
,92.23%,5.83%,1.94%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-6820-300,26,11,27,15,15,8,0,102,2.931,1,0,0,0,103,QIN C
,25.49%,10.78%,26.47%,14.71%,14.71%,7.84%,0.00%,,,,,,,,
COURSE TOTAL:,26,11,27,15,15,8,0,102,2.931,1,0,0,0,103,
,25.49%,10.78%,26.47%,14.71%,14.71%,7.84%,0.00%,,,,,,,,
DDDS-6840-300,97,6,0,0,0,0,0,103,3.97,0,0,0,0,103,MASH L
,94.17%,5.83%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,97,6,0,0,0,0,0,103,3.97,0,0,0,0,103,
,94.17%,5.83%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
