,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2018-2019,,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VMID-927-301,96,31,0,0,0,127,3.755,2,0,0,0,0,129,CORNELL K
,75.59%,24.41%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,96,31,0,0,0,127,3.755,2,0,0,0,0,129,
,75.59%,24.41%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-940-301,117,10,1,0,0,128,3.906,1,0,0,0,0,129,CORNELL K
,91.41%,7.81%,0.78%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,117,10,1,0,0,128,3.906,1,0,0,0,0,129,
,91.41%,7.81%,0.78%,0.00%,0.00%,,,,,,,,,
VMID-960-301,60,58,11,0,0,129,3.379,0,0,0,0,0,129,CORNELL K
,46.51%,44.96%,8.53%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,60,58,11,0,0,129,3.379,0,0,0,0,0,129,
,46.51%,44.96%,8.53%,0.00%,0.00%,,,,,,,,,
VMID-962-301,106,23,0,0,0,129,3.821,0,0,0,0,0,129,CORNELL K
,82.17%,17.83%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,106,23,0,0,0,129,3.821,0,0,0,0,0,129,
,82.17%,17.83%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-963-301,105,22,2,0,0,129,3.798,0,0,0,0,0,129,CORNELL K
,81.40%,17.05%,1.55%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,105,22,2,0,0,129,3.798,0,0,0,0,0,129,
,81.40%,17.05%,1.55%,0.00%,0.00%,,,,,,,,,
VMID-975-301,15,1,0,0,0,16,3.937,0,0,0,0,0,16,CORNELL K
,93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-975-302,14,2,0,0,0,16,3.875,0,0,0,0,0,16,CORNELL K
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2018-2019,,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VMID-975-303,12,3,0,0,0,15,3.8,1,0,0,0,0,16,CORNELL K
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-975-304,14,2,0,0,0,16,3.875,0,0,0,0,0,16,CORNELL K
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-975-305,15,1,0,0,0,16,3.937,0,0,0,0,0,16,CORNELL K
,93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-975-306,14,2,0,0,0,16,3.875,0,0,0,0,0,16,CORNELL K
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-975-307,13,3,0,0,0,16,3.812,0,0,0,0,0,16,CORNELL K
,81.25%,18.75%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-975-308,9,5,0,0,0,14,3.642,2,0,0,0,0,16,CORNELL K
,64.29%,35.71%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,106,19,0,0,0,125,3.848,3,0,0,0,0,128,
,84.80%,15.20%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,590,163,14,0,0,767,3.75,6,0,0,0,0,773,
,76.92%,21.25%,1.83%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2018-2019,,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,VET LARGE ANIMAL CLINICAL SC,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VLCS-940-301,45,57,4,0,0,106,3.386,0,0,0,0,0,106,CORNELL K
,42.45%,53.77%,3.77%,0.00%,0.00%,,,,,,,,,
VLCS-940-302,16,5,2,0,0,23,3.608,0,0,0,0,0,23,CORNELL K
,69.57%,21.74%,8.70%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,61,62,6,0,0,129,3.426,0,0,0,0,0,129,
,47.29%,48.06%,4.65%,0.00%,0.00%,,,,,,,,,
VLCS-941-301,73,54,1,0,0,128,3.562,1,0,0,0,0,129,CORNELL K
,57.03%,42.19%,0.78%,0.00%,0.00%,,,,,,,,,
VLCS-941-302,13,9,1,0,0,23,3.521,0,0,0,0,0,23,CORNELL K
,56.52%,39.13%,4.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,86,63,2,0,0,151,3.556,1,0,0,0,0,152,
,56.95%,41.72%,1.32%,0.00%,0.00%,,,,,,,,,
VLCS-945-301,16,7,0,0,0,23,3.695,0,0,0,0,0,23,CORNELL K
,69.57%,30.43%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-302,16,7,0,0,0,23,3.695,0,0,0,0,0,23,CORNELL K
,69.57%,30.43%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-303,20,3,0,0,0,23,3.869,0,0,0,0,0,23,CORNELL K
,86.96%,13.04%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-304,14,9,0,0,0,23,3.608,0,0,0,0,0,23,CORNELL K
,60.87%,39.13%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-305,29,20,1,0,0,50,3.56,0,0,0,0,0,50,CORNELL K
,58.00%,40.00%,2.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-306,46,3,0,0,0,49,3.938,1,0,0,0,0,50,CORNELL K
,93.88%,6.12%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-307,20,3,0,0,0,23,3.869,0,0,0,0,0,23,CORNELL K
,86.96%,13.04%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2018-2019,,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,VET LARGE ANIMAL CLINICAL SC,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
