,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-605-300,69,4,0,0,0,73,3.945,0,0,0,0,73,JOSEPH M
,94.52%,5.48%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-605-301,38,0,0,0,0,38,4,0,0,0,0,38,JOSEPH M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,107,4,0,0,0,111,3.963,0,0,0,0,111,
,96.40%,3.60%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-610-300,30,35,8,0,0,73,3.301,0,0,0,0,73,MAJETI R
,41.10%,47.95%,10.96%,0.00%,0.00%,,,,,,,,
PHAR-610-301,19,18,1,0,0,38,3.473,0,0,0,0,38,MAJETI R
,50.00%,47.37%,2.63%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,49,53,9,0,0,111,3.36,0,0,0,0,111,
,44.14%,47.75%,8.11%,0.00%,0.00%,,,,,,,,
PHAR-626-300,13,37,23,0,0,73,2.863,0,0,0,0,73,BUSTAMANTE J
,17.81%,50.68%,31.51%,0.00%,0.00%,,,,,,,,
PHAR-626-301,13,19,5,1,0,38,3.157,0,0,0,0,38,BUSTAMANTE J
,34.21%,50.00%,13.16%,2.63%,0.00%,,,,,,,,
COURSE TOTAL:,26,56,28,1,0,111,2.963,0,0,0,0,111,
,23.42%,50.45%,25.23%,0.90%,0.00%,,,,,,,,
PHAR-627-300,21,39,13,0,0,73,3.109,0,0,0,0,73,KUMAR N
,28.77%,53.42%,17.81%,0.00%,0.00%,,,,,,,,
PHAR-627-301,18,16,4,0,0,38,3.368,0,0,0,0,38,KUMAR N
,47.37%,42.11%,10.53%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,39,55,17,0,0,111,3.198,0,0,0,0,111,
,35.14%,49.55%,15.32%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-641-300,24,31,17,1,0,73,3.068,0,0,0,0,73,RAHMAN Z
,32.88%,42.47%,23.29%,1.37%,0.00%,,,,,,,,
PHAR-641-301,15,18,4,1,0,38,3.236,0,0,0,0,38,RAHMAN Z
,39.47%,47.37%,10.53%,2.63%,0.00%,,,,,,,,
COURSE TOTAL:,39,49,21,2,0,111,3.126,0,0,0,0,111,
,35.14%,44.14%,18.92%,1.80%,0.00%,,,,,,,,
PHAR-656-300,16,35,21,1,0,73,2.904,0,0,0,0,73,MILLER M
,21.92%,47.95%,28.77%,1.37%,0.00%,,,,,,,,
PHAR-656-301,9,23,5,1,0,38,3.052,0,0,0,0,38,MILLER M
,23.68%,60.53%,13.16%,2.63%,0.00%,,,,,,,,
COURSE TOTAL:,25,58,26,2,0,111,2.954,0,0,0,0,111,
,22.52%,52.25%,23.42%,1.80%,0.00%,,,,,,,,
PHAR-671-300,72,1,0,0,0,73,3.986,0,0,0,0,73,OFILI T
,98.63%,1.37%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-671-301,37,0,1,0,0,38,3.947,0,0,0,0,38,OFILI T
,97.37%,0.00%,2.63%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,109,1,1,0,0,111,3.972,0,0,0,0,111,
,98.20%,0.90%,0.90%,0.00%,0.00%,,,,,,,,
PHAR-672-300,21,30,16,4,1,72,2.916,1,0,0,0,73,LUKE J
,29.17%,41.67%,22.22%,5.56%,1.39%,,,,,,,,
PHAR-672-301,11,20,3,4,0,38,3,0,0,0,0,38,LUKE J
,28.95%,52.63%,7.89%,10.53%,0.00%,,,,,,,,
COURSE TOTAL:,32,50,19,8,1,110,2.945,1,0,0,0,111,
,29.09%,45.45%,17.27%,7.27%,0.91%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
