,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-820-300,11,0,0,0,0,11,4,0,0,0,0,11,ABU BAKER A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-820-302,18,0,0,0,0,18,4,1,0,0,0,19,ABU BAKER A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,29,0,0,0,0,29,4,1,0,0,0,30,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-876-300,5,2,0,0,0,7,3.714,0,0,0,1,8,ABU BAKER A
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-876-302,8,3,0,0,1,12,3.416,0,0,0,0,12,ABU BAKER A
,66.67%,25.00%,0.00%,0.00%,8.33%,,,,,,,,
PHAR-876-303,5,0,0,0,0,5,4,0,0,0,0,5,ABU BAKER A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,18,5,0,0,1,24,3.625,0,0,0,1,25,
,75.00%,20.83%,0.00%,0.00%,4.17%,,,,,,,,
PHAR-877-300,9,1,0,0,0,10,3.9,0,0,0,0,10,ABU BAKER A
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-877-302,5,2,2,0,0,9,3.333,0,0,0,0,9,ABU BAKER A
,55.56%,22.22%,22.22%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,14,3,2,0,0,19,3.631,0,0,0,0,19,
,73.68%,15.79%,10.53%,0.00%,0.00%,,,,,,,,
PHAR-878-300,13,1,1,0,0,15,3.8,0,0,0,0,15,ABU BAKER A
,86.67%,6.67%,6.67%,0.00%,0.00%,,,,,,,,
PHAR-878-302,21,1,0,0,0,22,3.954,1,0,0,1,24,ABU BAKER A
,95.45%,4.55%,0.00%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
COURSE TOTAL:,34,2,1,0,0,37,3.891,1,0,0,1,39,
,91.89%,5.41%,2.70%,0.00%,0.00%,,,,,,,,
PHAR-879-300,8,1,0,0,0,9,3.888,0,0,0,0,9,ABU BAKER A
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-879-302,8,0,1,0,0,9,3.777,1,0,0,0,10,ABU BAKER A
,88.89%,0.00%,11.11%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,16,1,1,0,0,18,3.833,1,0,0,0,19,
,88.89%,5.56%,5.56%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,111,11,4,0,1,127,3.818,3,0,0,2,132,
,87.40%,8.66%,3.15%,0.00%,0.79%,,,,,,,,
COLLEGE TOTAL:,111,11,4,0,1,127,3.818,3,0,0,2,132,
,87.40%,8.66%,3.15%,0.00%,0.79%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,
DEPARTMENT:,HLTH PROMOTION & COMM HLTH SCI,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
HPCH-603-698,18,1,0,0,0,19,3.947,0,0,0,0,19,TAI-SEALE T
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,18,1,0,0,0,19,3.947,0,0,0,0,19,
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,18,1,0,0,0,19,3.947,0,0,0,0,19,
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,18,1,0,0,0,19,3.947,0,0,0,0,19,
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,
