,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-601-300,64,5,5,0,0,74,3.797,0,0,0,0,74,PETERSON S
,86.49%,6.76%,6.76%,0.00%,0.00%,,,,,,,,
PHAR-601-301,41,0,0,0,0,41,4,0,0,0,0,41,PETERSON S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,105,5,5,0,0,115,3.869,0,0,0,0,115,
,91.30%,4.35%,4.35%,0.00%,0.00%,,,,,,,,
PHAR-606-300,63,11,0,0,0,74,3.851,0,0,0,0,74,JOSEPH M
,85.14%,14.86%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-606-301,37,4,0,0,0,41,3.902,0,0,0,0,41,JOSEPH M
,90.24%,9.76%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,100,15,0,0,0,115,3.869,0,0,0,0,115,
,86.96%,13.04%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-611-300,14,30,28,2,0,74,2.756,0,0,0,0,74,PETERSON S
,18.92%,40.54%,37.84%,2.70%,0.00%,,,,,,,,
PHAR-611-301,11,17,13,0,0,41,2.951,0,0,0,0,41,PETERSON S
,26.83%,41.46%,31.71%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,25,47,41,2,0,115,2.826,0,0,0,0,115,
,21.74%,40.87%,35.65%,1.74%,0.00%,,,,,,,,
PHAR-628-300,40,29,5,0,0,74,3.472,0,0,0,0,74,ZHONG L
,54.05%,39.19%,6.76%,0.00%,0.00%,,,,,,,,
PHAR-628-301,26,13,2,0,0,41,3.585,0,0,0,0,41,ZHONG L
,63.41%,31.71%,4.88%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,66,42,7,0,0,115,3.513,0,0,0,0,115,
,57.39%,36.52%,6.09%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-642-300,19,44,9,2,0,74,3.081,0,0,0,0,74,NUTAN M
,25.68%,59.46%,12.16%,2.70%,0.00%,,,,,,,,
PHAR-642-301,16,20,4,1,0,41,3.243,0,0,0,0,41,NUTAN M
,39.02%,48.78%,9.76%,2.44%,0.00%,,,,,,,,
COURSE TOTAL:,35,64,13,3,0,115,3.139,0,0,0,0,115,
,30.43%,55.65%,11.30%,2.61%,0.00%,,,,,,,,
PHAR-657-300,22,49,3,0,0,74,3.256,0,0,0,0,74,HOLDER E
,29.73%,66.22%,4.05%,0.00%,0.00%,,,,,,,,
PHAR-657-301,23,17,1,0,0,41,3.536,0,0,0,0,41,HOLDER E
,56.10%,41.46%,2.44%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,45,66,4,0,0,115,3.356,0,0,0,0,115,
,39.13%,57.39%,3.48%,0.00%,0.00%,,,,,,,,
PHAR-658-300,15,44,15,0,0,74,3,0,0,0,0,74,HERNANDEZ J
,20.27%,59.46%,20.27%,0.00%,0.00%,,,,,,,,
PHAR-658-301,14,24,3,0,0,41,3.268,0,0,0,0,41,HERNANDEZ J
,34.15%,58.54%,7.32%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,29,68,18,0,0,115,3.095,0,0,0,0,115,
,25.22%,59.13%,15.65%,0.00%,0.00%,,,,,,,,
PHAR-673-300,13,46,14,1,0,74,2.959,0,0,0,0,74,HAY H
,17.57%,62.16%,18.92%,1.35%,0.00%,,,,,,,,
PHAR-673-301,10,27,4,0,0,41,3.146,0,0,0,0,41,HAY H
,24.39%,65.85%,9.76%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,23,73,18,1,0,115,3.026,0,0,0,0,115,
,20.00%,63.48%,15.65%,0.87%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-701-300,51,19,4,0,0,74,3.635,0,0,0,0,74,PETERSON S
,68.92%,25.68%,5.41%,0.00%,0.00%,,,,,,,,
PHAR-701-301,29,5,1,0,0,35,3.8,0,0,0,0,35,PETERSON S
,82.86%,14.29%,2.86%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,80,24,5,0,0,109,3.688,0,0,0,0,109,
,73.39%,22.02%,4.59%,0.00%,0.00%,,,,,,,,
PHAR-705-300,35,4,0,0,0,39,3.897,0,0,0,0,39,ABU BAKER A
,89.74%,10.26%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-705-301,12,3,0,0,0,15,3.8,0,0,0,0,15,ABU BAKER A
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,47,7,0,0,0,54,3.87,0,0,0,0,54,
