SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
FORS-601-700,,8,,0,,0,,0,,,0,,8,,,,4.0,,0,,,0,,,0,,,False,,,0,,8,,,MITCHELL S,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,0,,0,,0,,,0,,8,,,,4.0,,0,,,0,,,0,,,False,,,0,,8,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-500,,16,,8,,0,,0,,,0,,24,,,,3.666,,0,,,0,,,0,,,False,,,0,,24,,,CONTRERAS N,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,8,,0,,0,,,0,,24,,,,3.666,,0,,,0,,,0,,,False,,,0,,24,,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-313-500,,5,,16,,2,,0,,,0,,23,,,,3.13,,0,,,0,,,0,,,False,,,0,,23,,,BONNER R,
,,0.2174,,0.6957,,0.087,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,16,,2,,0,,,0,,23,,,,3.13,,0,,,0,,,0,,,False,,,0,,23,,,,
,,0.2174,,0.6957,,0.087,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-500,,20,,23,,5,,0,,,0,,48,,,,3.312,,0,,,0,,,0,,,False,,,0,,48,,,BOSENBARK M,
,,0.4167,,0.4792,,0.1042,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-501,,7,,11,,1,,0,,,1,,20,,,,3.15,,0,,,0,,,0,,,False,,,0,,20,,,BOSENBARK M,
,,0.35,,0.55,,0.05,,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,34,,6,,0,,,1,,68,,,,3.264,,0,,,0,,,0,,,False,,,0,,68,,,,
,,0.3971,,0.5,,0.0882,,0.0,,,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-500,,17,,7,,0,,0,,,0,,24,,,,3.708,,0,,,0,,,0,,,False,,,0,,24,,,WHITE-COREY S,
,,0.7083,,0.2917,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,7,,0,,0,,,0,,24,,,,3.708,,0,,,0,,,0,,,False,,,0,,24,,,,
,,0.7083,,0.2917,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-411-900,,23,,1,,0,,0,,,0,,24,,,,3.958,,0,,,0,,,0,,,False,,,0,,24,,,DORMIRE S,
,,0.9583,,0.0417,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
NURS-411-901,,20,,0,,0,,0,,,0,,,20,,,4.0,,0,,,,False,,,False,,,False,,0,,20,,DORMIRE S,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,43,,1,,0,,0,,,0,,,44,,,3.977,,0,,,,False,,,False,,,False,,0,,44,,,,
,,0.9773,,0.0227,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-500,,8,,15,,1,,0,,,0,,,24,,,3.291,,0,,,,False,,,False,,,False,,0,,24,,DECKER W,,
,,0.3333,,0.625,,0.0417,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-501,,6,,13,,1,,0,,,0,,,20,,,3.25,,0,,,,False,,,False,,,False,,0,,20,,DECKER W,,
,,0.3,,0.65,,0.05,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,28,,2,,0,,,0,,,44,,,3.272,,0,,,,False,,,False,,,False,,0,,44,,,,
,,0.3182,,0.6364,,0.0455,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-500,,23,,2,,0,,0,,,0,,,25,,,3.92,,0,,,,False,,,False,,,False,,0,,25,,PITTMAN A,,
,,0.92,,0.08,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,2,,0,,0,,,0,,,25,,,3.92,,0,,,,False,,,False,,,False,,0,,25,,,,
,,0.92,,0.08,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-420-500,,7,,14,,2,,0,,,0,,,23,,,3.217,,0,,,,False,,,False,,,False,,0,,23,,MUFICH M,,
,,0.3043,,0.6087,,0.087,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,14,,2,,0,,,0,,,23,,,3.217,,0,,,,False,,,False,,,False,,0,,23,,,,
,,0.3043,,0.6087,,0.087,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-430-500,,25,,0,,0,,0,,,0,,,25,,,4.0,,0,,,,False,,,False,,,True,,2,,28,,BURNS R,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,0,,0,,0,,,0,,,25,,,4.0,,0,,,,False,,,False,,,True,,2,,28,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-432-501,,47,,0,,0,,0,,,0,,,47,,,4.0,,0,,,,False,,,False,,,False,,0,,47,,VAN S,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
