SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
NURS-305-500,,22,,1,,0,,0,,,0,,23,,,,3.956,,0,,,0,,,0,,,False,,,0,,23,,,BONNER R,,
,,0.9565,,0.0435,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,1,,0,,0,,,0,,23,,,,3.956,,0,,,0,,,0,,,False,,,0,,23,,,,,
,,0.9565,,0.0435,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-500,,17,,12,,0,,0,,,0,,29,,,,3.586,,0,,,0,,,0,,,False,,,0,,29,,,BRUCE R,,
,,0.5862,,0.4138,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-501,,5,,14,,1,,0,,,0,,20,,,,3.2,,0,,,0,,,0,,,False,,,0,,20,,,BRUCE R,,
,,0.25,,0.7,,0.05,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,26,,1,,0,,,0,,49,,,,3.428,,0,,,0,,,0,,,False,,,0,,49,,,,,
,,0.449,,0.5306,,0.0204,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-313-500,,15,,37,,0,,0,,,0,,52,,,,3.288,,0,,,0,,,0,,,False,,,0,,52,,,GRUBEN D,,
,,0.2885,,0.7115,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-313-501,,4,,14,,2,,0,,,0,,20,,,,3.1,,0,,,0,,,0,,,False,,,0,,20,,,GRUBEN D,,
,,0.2,,0.7,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,51,,2,,0,,,0,,72,,,,3.236,,0,,,0,,,0,,,False,,,0,,72,,,,,
,,0.2639,,0.7083,,0.0278,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-314-900,,36,,16,,0,,0,,,0,,52,,,,3.692,,0,,,0,,,0,,,False,,,0,,52,,,GRUBEN D,,
,,0.6923,,0.3077,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-314-901,,13,,7,,0,,0,,,0,,20,,,,3.65,,0,,,0,,,0,,,False,,,0,,20,,,GRUBEN D,,
,,0.65,,0.35,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,49,,23,,0,,0,,,0,,72,,,,3.68,,0,,,0,,,0,,,False,,,0,,72,,,,,
,,0.6806,,0.3194,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-315-500,,33,,14,,0,,0,,,1,,48,,,,3.625,,0,,,0,,,0,,,False,,,0,,48,,,SEABACK W,,
,,0.6875,,0.2917,,0.0,,0.0,,,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
NURS-315-501,,16,,10,,1,,0,,,0,,,27,,,3.555,,0,,,,False,,,False,,,False,,0,,27,,SEABACK W,,,
,,0.5926,,0.3704,,0.037,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,49,,24,,1,,0,,,1,,,75,,,3.6,,0,,,,False,,,False,,,False,,0,,75,,,,,
,,0.6533,,0.32,,0.0133,,0.0,,,0.0133,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-316-500,,6,,39,,6,,0,,,0,,,51,,,3.0,,0,,,,False,,,False,,,False,,1,,52,,WELLS-BEEDE,,E,
,,0.1176,,0.7647,,0.1176,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-316-501,,0,,13,,7,,0,,,0,,,20,,,2.65,,0,,,,False,,,False,,,False,,0,,20,,WELLS-BEEDE,,E,
