SECTION,b,c,A,e,B,g,C,D,j,F,l,A_2,- F,o,GPR,q,I,s,t,S,v,w,U,y,z,Q,bb,cc,X,ee,ff,TOTAL,hh,INSTRUCTOR,jj,kk,ll
NURS-305-500,,,46,,0,,0,0,,0,,,46,,4.0,,,False,,,False,,,False,,,False,,,False,,46,,KOSAREK J,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-305-501,,,18,,1,,0,0,,0,,,19,,3.947,,,False,,,False,,,False,,,False,,,False,,19,,KOSAREK J,,,
,,,0.9474,,0.0526,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      64,,,,1,,0,,0,0,,65,,,3.985,,False,,,False,,,False,,,False,,,False,,,65,,,,,,
0.9846,,,,0.0154,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-500           31,,,,14,,1,,0,0,,46,,,3.652,,False,,,False,,,False,,,False,,,False,,,46,,BALKE N,,,,
0.6739,,,,0.3043,,0.0217,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-501           13,,,,5,,1,,0,0,,19,,,3.632,,False,,,False,,,False,,,False,,,False,,,19,,BALKE N,,,,
0.6842,,,,0.2632,,0.0526,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      44,,,,19,,2,,0,0,,65,,,3.646,,False,,,False,,,False,,,False,,,False,,,65,,,,,,
0.6769,,,,0.2923,,0.0308,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-313-500           21,,,,28,,0,,0,0,,49,,,3.429,,False,,,False,,,False,,,False,,,False,,,49,,BONNER R,,,,
0.4286,,,,0.5714,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-313-501            5,,,,14,,0,,0,0,,19,,,3.263,,False,,,False,,,False,,,False,,,False,,,19,,BONNER R,,,,
0.2632,,,,0.7368,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      26,,,,42,,0,,0,0,,68,,,3.382,,False,,,False,,,False,,,False,,,False,,,68,,,,,,
0.3824,,,,0.6176,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-314-500           33,,,,13,,0,,0,0,,46,,,3.717,,False,,,False,,,False,,,False,,,False,,,46,,STOUT AGUILAR,,,J,
0.7174,,,,0.2826,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-314-501           15,,,,4,,0,,0,0,,19,,,3.79,,False,,,False,,,False,,,False,,,False,,,19,,STOUT AGUILAR,,,J,
0.7895,,,,0.2105,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      48,,,,17,,0,,0,0,,65,,,3.738,,False,,,False,,,False,,,False,,,False,,,65,,,,,,
0.7385,,,,0.2615,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NURS-315-500
COURSE TOTAL:
NURS-316-500
NURS-316-501
COURSE TOTAL:
NURS-320-500
COURSE TOTAL:
NURS-323-500
NURS-323-501
COURSE TOTAL:
NURS-411-500
COURSE TOTAL:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,34,,38,,0,0,,0,,72,,,3.472,,0,,,False,,,False,,,False,,,False,,,72,,SEABACK W,,,
,,,0.4722,,0.5278,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,34,,38,,0,0,,0,,72,,,3.472,,0,,,False,,,False,,,False,,,False,,,72,,,,,
,,,0.4722,,0.5278,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25,,20,,3,0,,0,,48,,,3.458,,0,,,False,,,False,,,False,,,False,,,48,,BRUCE R,,,
,,,0.5208,,0.4167,,0.0625,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,,10,,1,0,,0,,19,,,3.368,,0,,,False,,,False,,,False,,,False,,,19,,BRUCE R,,,
,,,0.4211,,0.5263,,0.0526,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33,,30,,4,0,,0,,67,,,3.433,,0,,,False,,,False,,,False,,,False,,,67,,,,,
,,,0.4925,,0.4478,,0.0597,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,42,,19,0,,0,,70,,,2.857,,1,,,False,,,False,,,False,,,False,,,71,,MUFICH M,,,
,,,0.1286,,0.6,,0.2714,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,42,,19,0,,0,,70,,,2.857,,1,,,False,,,False,,,False,,,False,,,71,,,,,
,,,0.1286,,0.6,,0.2714,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,17,,2,0,,0,,34,,,3.382,,0,,,False,,,False,,,False,,,False,,,34,,WHITE-COREY,S,,
,,,0.4412,,0.5,,0.0588,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,5,,0,0,,0,,18,,,3.722,,0,,,False,,,False,,,False,,,False,,,18,,WHITE-COREY,S,,
,,,0.7222,,0.2778,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28,,22,,2,0,,0,,52,,,3.5,,0,,,False,,,False,,,False,,,False,,,52,,,,,
,,,0.5385,,0.4231,,0.0385,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,,5,,0,0,,0,,36,,,3.861,,0,,,False,,,False,,,False,,,False,,,36,,PISHEK J,,,
,,,0.8611,,0.1389,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,,5,,0,0,,0,,36,,,3.861,,0,,,False,,,False,,,False,,,False,,,36,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.8611,,0.1389,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-500,,,9,,45,,15,0,,0,,69,,,2.913,,2,,,False,,,False,,,False,,,False,,,71,,DECKER W,,,
,,,0.1304,,0.6522,,0.2174,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,9,,45,,15,0,,0,,69,,,2.913,,2,,,False,,,False,,,False,,,False,,,71,,,,,
,,,0.1304,,0.6522,,0.2174,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-500,,,6,,18,,1,0,,0,,25,,,3.2,,0,,,False,,,False,,,False,,,False,,,25,,PITTMAN A,,,
,,,0.24,,0.72,,0.04,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-501,,,8,,10,,0,0,,0,,18,,,3.444,,0,,,False,,,False,,,False,,,False,,,18,,PITTMAN A,,,
,,,0.4444,,0.5556,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,14,,28,,1,0,,0,,43,,,3.302,,0,,,False,,,False,,,False,,,False,,,43,,,,,
,,,0.3256,,0.6512,,0.0233,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-421-500,,,11,,35,,0,0,,0,,46,,,3.239,,0,,,False,,,False,,,False,,,False,,,46,,NEAL C,,,
,,,0.2391,,0.7609,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,11,,35,,0,0,,0,,46,,,3.239,,0,,,False,,,False,,,False,,,False,,,46,,,,,
,,,0.2391,,0.7609,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-424-500,,,33,,0,,0,0,,0,,33,,,4.0,,0,,,False,,,False,,,False,,,False,,,33,,LANDRY K,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-424-501,,,17,,0,,0,0,,0,,17,,,4.0,,0,,,False,,,False,,,False,,,False,,,17,,LANDRY K,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,50,,0,,0,0,,0,,50,,,4.0,,0,,,False,,,False,,,False,,,False,,,50,,,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-430-500,,,71,,0,,0,0,,0,,71,,,4.0,,0,,,False,,,False,,,False,,,False,,,71,,BURNS R,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-430-501,,,18,,0,,0,0,,0,,18,,,4.0,,0,,,False,,,False,,,False,,,False,,,18,,BURNS R,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
