ATMO-201-299,60,c,d,78,f,40,h,4,j,2,l,m,184,o,3.032,q,r,3,t,u,0,w,0_2,y,z,2_2,bb,cc,dd,0_3,ff,gg,189,EPIFANIO,C,kk,ll
,0.3261,,,0.4239,,0.2174,,0.0217,,0.0109,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,60,,,78,,40,,4,,2,,,184,,3.032,,,3,,,False,,False,,,2,,,,False,,,189,,,,
,0.3261,,,0.4239,,0.2174,,0.0217,,0.0109,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-489-550,8,,,0,,0,,0,,0,,,8,,4.0,,,0,,,False,,False,,,0,,,,False,,,8,CONLEE D,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-489-551,6,,,0,,0,,0,,0,,,6,,4.0,,,0,,,False,,False,,,0,,,,False,,,6,CONLEE D,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,,0,,0,,0,,0,,,14,,4.0,,,0,,,False,,False,,,0,,,,False,,,14,,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-629-100,19,,,0,,0,,0,,0,,,19,,4.0,,,0,,,False,,False,,,0,,,,False,,,19,NORTH J,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,19,,,0,,0,,0,,0,,,19,,4.0,,,0,,,False,,False,,,0,,,,False,,,19,,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,93,,,78,,40,,4,,2,,,2173.172,,,,,3,,,False,,False,,,2,,,,False,,,222,,,,
,0.4286,,,0.3594,,0.1843,,0.0184,,0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,
GEOG-201-299,,27,,22,,12,,5,,6,,,72,,2.819,,0,,,,False,,,False,,,2,,0,,,74,,LAUERMANN J,,,
,,0.375,,0.3056,,0.1667,,0.0694,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,22,,12,,5,,6,,,72,,2.819,,0,,,,False,,,False,,,2,,0,,,74,,,,,
,,0.375,,0.3056,,0.1667,,0.0694,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOG-202-200,,12,,35,,19,,0,,0,,,66,,2.893,,2,,,,False,,,False,,,2,,0,,,70,,SMITH J,,,
,,0.1818,,0.5303,,0.2879,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,35,,19,,0,,0,,,66,,2.893,,2,,,,False,,,False,,,2,,0,,,70,,,,,
,,0.1818,,0.5303,,0.2879,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOG-203-198,,97,,22,,18,,6,,4,,,147,,3.374,,0,,,,False,,,False,,,3,,0,,,150,,LOISEL J,,,
,,0.6599,,0.1497,,0.1224,,0.0408,,0.0272,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,97,,22,,18,,6,,4,,,147,,3.374,,0,,,,False,,,False,,,3,,0,,,150,,,,,
,,0.6599,,0.1497,,0.1224,,0.0408,,0.0272,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOG-213-299,,13,,30,,4,,5,,3,,,55,,2.818,,1,,,,False,,,False,,,1,,0,,,57,,JOHNSON J,,,
,,0.2364,,0.5455,,0.0727,,0.0909,,0.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,30,,4,,5,,3,,,55,,2.818,,1,,,,False,,,False,,,1,,0,,,57,,,,,
,,0.2364,,0.5455,,0.0727,,0.0909,,0.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOG-352-250,,5,,2,,0,,0,,0,,,7,,3.714,,1,,,,False,,,False,,,0,,0,,,8,,CAIRNS D,,,
,,0.7143,,0.2857,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,2,,0,,0,,0,,,7,,3.714,,1,,,,False,,,False,,,0,,0,,,8,,,,,
,,0.7143,,0.2857,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOG-390-101,,16,,3,,0,,0,,0,,,19,,3.842,,0,,,,False,,,False,,,0,,0,,,19,,HERNANDEZ AYALA,,J,
,,0.8421,,0.1579,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOG-390-102,,12,,3,,0,,0,,0,,,15,,3.8,,0,,,,False,,,False,,,0,,0,,,15,,HERNANDEZ AYALA,,J,
,,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
