SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,INSTRUCTOR,ll
ATMO-201-501,,59,,88,,12,,0,,,0,,,159,,,3.295,,False,,,,False,,,False,2,,,,,False,,161,,LOGAN T,
,,0.3711,,0.5535,,0.0755,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-502,,13,,7,,7,,2,,,0,,,29,,,3.068,,False,,,,False,,,False,2,,,,,False,,31,,CONLEE D,
,,0.4483,,0.2414,,0.2414,,0.069,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-504,,43,,11,,4,,2,,,0,,,60,,,3.583,,False,,,,False,,,False,0,,,,,False,,60,,SANGER N,
,,0.7167,,0.1833,,0.0667,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-506,,68,,79,,12,,0,,,0,,,159,,,3.352,,False,,,,False,,,False,1,,,,,False,,160,,LOGAN T,
,,0.4277,,0.4969,,0.0755,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-508,,16,,26,,12,,2,,,0,,,56,,,3.0,,False,,,,False,,,False,3,,,,,False,,59,,BOWMAN K,
,,0.2857,,0.4643,,0.2143,,0.0357,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-509,,76,,76,,13,,0,,,0,,,165,,,3.381,,False,,,,False,,,False,2,,,,,False,,167,,LOGAN T,
,,0.4606,,0.4606,,0.0788,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,275,,287,,60,,6,,,0,,,628,,,3.323,,False,,,,False,,,False,10,,,,,False,,638,,,
,,0.4379,,0.457,,0.0955,,0.0096,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-501,,12,,5,,2,,0,,,0,,,19,,,3.526,,False,,,,False,,,False,2,,,,,False,,21,,LOGAN T,
,,0.6316,,0.2632,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-502,,17,,1,,0,,0,,,0,,,18,,,3.944,,False,,,,False,,,False,0,,,,,False,,18,,LOGAN T,
,,0.9444,,0.0556,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-504,,15,,7,,0,,0,,,1,,,23,,,3.521,,False,,,,False,,,False,0,,,,,False,,23,,LOGAN T,
,,0.6522,,0.3043,,0.0,,0.0,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-506,,18,,5,,1,,0,,,0,,,24,,,3.708,,False,,,,False,,,False,1,,,,,False,,25,,LOGAN T,
,,0.75,,0.2083,,0.0417,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-507,,13,,5,,3,,0,,,0,,,21,,,3.476,,False,,,,False,,,False,0,,,,,False,,21,,LOGAN T,
,,0.619,,0.2381,,0.1429,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,75,,23,,6,,0,,,1,,,105,,,3.628,,False,,,,False,,,False,3,,,,,False,,108,,,
,,0.7143,,0.219,,0.0571,,0.0,,,0.0095,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,
ATMO-203-502,,7,,6,,2,,0,,,0,,15,,,,3.333,,False,,,False,,,False,,,0,,,False,,,15,,CONLEE D,
,,0.4667,,0.4,,0.1333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,6,,2,,0,,,0,,15,,,,3.333,,False,,,False,,,False,,,0,,,False,,,15,,,
,,0.4667,,0.4,,0.1333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-251-501,,6,,7,,6,,2,,,0,,21,,,,2.809,,False,,,False,,,False,,,0,,,False,,,21,,CONLEE D,
,,0.2857,,0.3333,,0.2857,,0.0952,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-251-502,,7,,11,,1,,2,,,0,,21,,,,3.095,,False,,,False,,,False,,,0,,,False,,,21,,CONLEE D,
,,0.3333,,0.5238,,0.0476,,0.0952,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,18,,7,,4,,,0,,42,,,,2.952,,False,,,False,,,False,,,0,,,False,,,42,,,
,,0.3095,,0.4286,,0.1667,,0.0952,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-321-500,,6,,9,,6,,0,,,0,,21,,,,3.0,,False,,,False,,,False,,,0,,,False,,,21,,BOWMAN K,
,,0.2857,,0.4286,,0.2857,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,9,,6,,0,,,0,,21,,,,3.0,,False,,,False,,,False,,,0,,,False,,,21,,,
,,0.2857,,0.4286,,0.2857,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-335-501,,8,,11,,5,,2,,,0,,26,,,,2.961,,False,,,False,,,False,,,2,,,False,,,28,,SZUNYOGH I,
,,0.3077,,0.4231,,0.1923,,0.0769,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
