,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,
DEPARTMENT:,HLTH PROMOTION & COMM HLTH SCI,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
HPCH-603-698,14,8,2,0,0,24,3.5,0,0,0,0,24,TAI-SEALE T
,58.33%,33.33%,8.33%,0.00%,0.00%,,,,,,,,
HPCH-603-699,15,5,0,0,0,20,3.75,0,0,0,0,20,TAI-SEALE T
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,29,13,2,0,0,44,3.613,0,0,0,0,44,
,65.91%,29.55%,4.55%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,29,13,2,0,0,44,3.613,0,0,0,0,44,
,65.91%,29.55%,4.55%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,29,13,2,0,0,44,3.613,0,0,0,0,44,
,65.91%,29.55%,4.55%,0.00%,0.00%,,,,,,,,
