SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm
NURS-305-598,,59,,1,,0,,0,,,0,,,60,,,3.983,,0,,,,False,,,False,,,0,,0,,60,,LANDMAN W,,,
,,0.9833,,0.0167,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-305-599,,44,,0,,0,,0,,,0,,,44,,,4.0,,0,,,,False,,,False,,,0,,0,,44,,LANDMAN W,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,103,,1,,0,,0,,,0,,,104,,,3.99,,0,,,,False,,,False,,,0,,0,,104,,,,,
,,0.9904,,0.0096,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-306-500,,26,,29,,3,,0,,,0,,,58,,,3.396,,0,,,,False,,,False,,,0,,0,,58,,ROSEN C,,,
,,0.4483,,0.5,,0.0517,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-306-501,,15,,10,,0,,0,,,0,,,25,,,3.6,,0,,,,False,,,False,,,0,,0,,25,,GRUBEN D,,,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,39,,3,,0,,,0,,,83,,,3.457,,0,,,,False,,,False,,,0,,0,,83,,,,,
,,0.494,,0.4699,,0.0361,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-307-500,,56,,2,,0,,0,,,0,,,58,,,3.965,,0,,,,False,,,False,,,0,,0,,58,,ROSEN C,,,
,,0.9655,,0.0345,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-307-501,,25,,0,,0,,0,,,0,,,25,,,4.0,,0,,,,False,,,False,,,0,,0,,25,,GRUBEN D,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,81,,2,,0,,0,,,0,,,83,,,3.975,,0,,,,False,,,False,,,0,,0,,83,,,,,
,,0.9759,,0.0241,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-500,,49,,9,,0,,0,,,0,,,58,,,3.844,,0,,,,False,,,False,,,0,,0,,58,,DORMIRE S,,,
,,0.8448,,0.1552,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-501,,23,,2,,0,,0,,,0,,,25,,,3.92,,0,,,,False,,,False,,,0,,0,,25,,BRUCE R,,,
,,0.92,,0.08,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,72,,11,,0,,0,,,0,,,83,,,3.867,,0,,,,False,,,False,,,0,,0,,83,,,,,
,,0.8675,,0.1325,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
NURS-315-500,,27,,3,,1,,0,,,0,,,31,,,3.838,,0,,,,False,,,False,,,0,,0,,31,,SEABACK W,,,
,,0.871,,0.0968,,0.0323,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,3,,1,,0,,,0,,,31,,,3.838,,0,,,,False,,,False,,,0,,0,,31,,,,,
,,0.871,,0.0968,,0.0323,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-316-500,,29,,26,,0,,2,,,0,,,57,,,3.438,,0,,,,False,,,False,,,0,,0,,57,,PARROTT T,,,
,,0.5088,,0.4561,,0.0,,0.0351,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-316-501,,12,,13,,0,,0,,,0,,,25,,,3.48,,0,,,,False,,,False,,,0,,1,,26,,MAULDIN B,,,
,,0.48,,0.52,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,39,,0,,2,,,0,,,82,,,3.451,,0,,,,False,,,False,,,0,,1,,83,,,,,
,,0.5,,0.4756,,0.0,,0.0244,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-500,,5,,44,,6,,0,,,0,,,55,,,2.981,,0,,,,False,,,False,,,0,,0,,55,,BOSENBARK M,,,
,,0.0909,,0.8,,0.1091,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-501,,3,,17,,4,,0,,,0,,,24,,,2.958,,0,,,,False,,,False,,,0,,0,,24,,VELA C,,,
,,0.125,,0.7083,,0.1667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,61,,10,,0,,,0,,,79,,,2.974,,0,,,,False,,,False,,,0,,0,,79,,,,,
,,0.1013,,0.7722,,0.1266,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
