SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm
NURS-306-500,,14,,32,,9,,1,,,0,,,56,,,3.053,,0,,,,False,,,False,,,0,,0,,56,,GRUBEN D,,,
,,0.25,,0.5714,,0.1607,,0.0179,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-306-501,,5,,15,,4,,0,,,0,,,24,,,3.041,,0,,,,False,,,False,,,0,,0,,24,,GRUBEN D,,,
,,0.2083,,0.625,,0.1667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,47,,13,,1,,,0,,,80,,,3.05,,0,,,,False,,,False,,,0,,0,,80,,,,,
,,0.2375,,0.5875,,0.1625,,0.0125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-307-500,,56,,0,,0,,0,,,0,,,56,,,4.0,,0,,,,False,,,False,,,0,,0,,56,,LANDMAN W,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-307-501,,24,,0,,0,,0,,,0,,,24,,,4.0,,0,,,,False,,,False,,,0,,0,,24,,GRUBEN D,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,80,,0,,0,,0,,,0,,,80,,,4.0,,0,,,,False,,,False,,,0,,0,,80,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-501,,18,,5,,0,,0,,,0,,,23,,,3.782,,0,,,,False,,,False,,,0,,0,,23,,BRUCE R,,,
,,0.7826,,0.2174,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-502,,42,,13,,1,,0,,,0,,,56,,,3.732,,0,,,,False,,,False,,,0,,0,,56,,MARKLUND L,,,
,,0.75,,0.2321,,0.0179,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,60,,18,,1,,0,,,0,,,79,,,3.746,,0,,,,False,,,False,,,0,,0,,79,,,,,
,,0.7595,,0.2278,,0.0127,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-316-500,,14,,32,,9,,1,,,0,,,56,,,3.053,,0,,,,False,,,False,,,0,,0,,56,,PARROTT T,,,
,,0.25,,0.5714,,0.1607,,0.0179,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-316-501,,6,,16,,2,,1,,,0,,,25,,,3.08,,0,,,,False,,,False,,,0,,0,,25,,MAULDIN B,,,
,,0.24,,0.64,,0.08,,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,48,,11,,2,,,0,,,81,,,3.061,,0,,,,False,,,False,,,0,,0,,81,,,,,
,,0.2469,,0.5926,,0.1358,,0.0247,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
NURS-320-500,,5,,18,,3,,0,,,0,,,26,,,3.076,,0,,,,False,,,False,,,0,,0,,26,,BOSENBARK M,,,
,,0.1923,,0.6923,,0.1154,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,18,,3,,0,,,0,,,26,,,3.076,,0,,,,False,,,False,,,0,,0,,26,,,,,
,,0.1923,,0.6923,,0.1154,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-500,,33,,18,,1,,0,,,0,,,52,,,3.615,,0,,,,False,,,False,,,0,,0,,52,,WHITE-COREY,,S,
,,0.6346,,0.3462,,0.0192,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-501,,6,,14,,1,,0,,,0,,,21,,,3.238,,0,,,,False,,,False,,,0,,0,,21,,WELLS-BEEDE,,E,
,,0.2857,,0.6667,,0.0476,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,39,,32,,2,,0,,,0,,,73,,,3.506,,0,,,,False,,,False,,,0,,0,,73,,,,,
,,0.5342,,0.4384,,0.0274,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-500,,6,,34,,8,,0,,,0,,,48,,,2.958,,0,,,,False,,,False,,,0,,0,,48,,DECKER W,,,
,,0.125,,0.7083,,0.1667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-501,,5,,12,,4,,0,,,0,,,21,,,3.047,,0,,,,False,,,False,,,0,,0,,21,,BRUCE R,,,
,,0.2381,,0.5714,,0.1905,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,46,,12,,0,,,0,,,69,,,2.985,,0,,,,False,,,False,,,0,,0,,69,,,,,
