SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
NURS-305-598,,46,,4,,1,,0,,,0,,51,,3.882,,False,,,False,,False,,False,,,False,,51,,PULLIUM C,
,,0.902,,0.0784,,0.0196,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-305-599,,34,,8,,0,,0,,,0,,42,,3.809,,False,,,False,,False,,False,,,False,,42,,PULLIUM C,
,,0.8095,,0.1905,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,80,,12,,1,,0,,,0,,93,,3.849,,False,,,False,,False,,False,,,False,,93,,,
,,0.8602,,0.129,,0.0108,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-312-500,,31,,16,,1,,0,,,0,,48,,3.625,,False,,,False,,False,,False,,,False,,48,,MARKLUND L,
,,0.6458,,0.3333,,0.0208,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-312-501,,12,,9,,1,,0,,,0,,22,,3.5,,False,,,False,,False,,False,,,False,,22,,BRUCE R,
,,0.5455,,0.4091,,0.0455,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,43,,25,,2,,0,,,0,,70,,3.585,,False,,,False,,False,,False,,,False,,70,,,
,,0.6143,,0.3571,,0.0286,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-313-500,,16,,32,,0,,0,,,0,,48,,3.333,,False,,,False,,False,,False,,,False,,48,,GRUBEN D,
,,0.3333,,0.6667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-313-501,,5,,16,,1,,0,,,0,,22,,3.181,,False,,,False,,False,,False,,,False,,22,,GRUBEN D,
,,0.2273,,0.7273,,0.0455,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,48,,1,,0,,,0,,70,,3.285,,False,,,False,,False,,False,,,False,,70,,,
,,0.3,,0.6857,,0.0143,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
