SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL   INSTRUCTOR,gg,hh,ii
BIMS-485-343,,7,,,0,,,0,,0,,0,,,7,,4.0,,False,,,False,,False,,,True,,False,,8 BLACK M,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,,0,,,0,,0,,0,,,7,,4.0,,False,,,False,,False,,,True,,False,,8,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,7,,,0,,,0,,0,,0,,,7,,4.0,,False,,,False,,False,,,True,,False,,8,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
VIBS-305-301,23,,,18,,,16,,,6,,5,,,68,2.705,,,False,,,False,False,,,3,,,False,,71,FRANK-CANNON,True,
,0.3382,,,0.2647,,,0.2353,,,0.0882,,0.0735,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,23,,,18,,,16,,,6,,5,,,68,2.705,,,False,,,False,False,,,3,,,False,,71,,,
,0.3382,,,0.2647,,,0.2353,,,0.0882,,0.0735,,,,,,,,,,,,,,,,,,,,,,
VIBS-447-150,31,,,0,,,0,,,0,,0,,,31,4.0,,,False,,,False,False,,,0,,,False,,31,WALTZ M,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,31,,,0,,,0,,,0,,0,,,31,4.0,,,False,,,False,False,,,0,,,False,,31,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
VIBS-489-150,8,,,0,,,0,,,0,,0,,,8,4.0,,,False,,,False,False,,,0,,,False,,8,YEOMAN M,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,,0,,,0,,0,,,8,4.0,,,False,,,False,False,,,0,,,False,,8,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
VIBS-601-300,8,,,4,,,0,,,0,,0,,,12,3.666,,,True,,,False,False,,,1,,,False,,14,FRANK-CANNON,True,
,0.6667,,,0.3333,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,4,,,0,,,0,,0,,,12,3.666,,,True,,,False,False,,,1,,,False,,14,,,
,0.6667,,,0.3333,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
VIBS-655-201,6,,,3,,,0,,,0,,0,,,9,3.666,,,False,,,False,False,,,0,,,False,,9,GASTEL B,,
,0.6667,,,0.3333,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,,3,,,0,,,0,,0,,,9,3.666,,,False,,,False,False,,,0,,,False,,9,,,
,0.6667,,,0.3333,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
VIBS-689-200,8,,,1,,,1,,,0,,0,,,10,3.7,,,False,,,False,False,,,2,,,False,,12,CAI J,,
,0.8,,,0.1,,,0.1,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,1,,,1,,,0,,0,,,10,3.7,,,False,,,False,False,,,2,,,False,,12,,,
,0.8,,,0.1,,,0.1,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,84,,,26,,,17,,,6,,5,,,1383.142,,,,True,,,False,False,,,6,,,False,,145,,,
,0.6087,,,0.1884,,,0.1232,,,0.0435,,0.0362,,,,,,,,,,,,,,,,,,,,,,
