,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,
DEPARTMENT:,HLTH PROMOTION & COMM HLTH SCI,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
HPCH-603-698,7,1,0,0,0,8,3.875,0,0,0,0,8,TAI-SEALE T
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,
HPCH-603-699,11,1,0,0,0,12,3.916,0,0,0,0,12,TAI-SEALE T
,91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,18,2,0,0,0,20,3.9,0,0,0,0,20,
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,18,2,0,0,0,20,3.9,0,0,0,0,20,
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,18,2,0,0,0,20,3.9,0,0,0,0,20,
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,
