,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
NURS-305-700,53,1,0,0,0,54,3.981,0,0,0,0,0,54,PULLIUM C
,98.15%,1.85%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,53,1,0,0,0,54,3.981,0,0,0,0,0,54,
,98.15%,1.85%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-315-300,15,6,0,0,0,21,3.714,1,0,0,0,0,22,SEABACK W
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-315-301,10,10,1,0,0,21,3.428,0,0,0,0,0,21,SEABACK W
,47.62%,47.62%,4.76%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,16,1,0,0,42,3.571,1,0,0,0,0,43,
,59.52%,38.10%,2.38%,0.00%,0.00%,,,,,,,,,
NURS-320-300,5,15,3,0,0,23,3.086,0,0,0,0,0,23,BOSENBARK M
,21.74%,65.22%,13.04%,0.00%,0.00%,,,,,,,,,
NURS-320-301,3,14,4,0,0,21,2.952,0,0,0,0,0,21,BOSENBARK M
,14.29%,66.67%,19.05%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,29,7,0,0,44,3.022,0,0,0,0,0,44,
,18.18%,65.91%,15.91%,0.00%,0.00%,,,,,,,,,
NURS-411-900,48,1,0,0,0,49,3.979,0,0,0,0,0,49,DORMIRE S
,97.96%,2.04%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-411-901,20,1,0,0,0,21,3.952,0,0,0,0,0,21,DORMIRE S
,95.24%,4.76%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,68,2,0,0,0,70,3.971,0,0,0,0,0,70,
,97.14%,2.86%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-412-300,7,17,2,0,0,26,3.192,0,0,0,0,0,26,DECKER W
,26.92%,65.38%,7.69%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
