,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Professional Dentistry,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DDDS-7420-300,49,0,49,0,6,0,0,104,3.413,0,0,0,0,104,HONEYMAN A
,47.12%,0.00%,47.12%,0.00%,5.77%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,49,0,49,0,6,0,0,104,3.413,0,0,0,0,104,
,47.12%,0.00%,47.12%,0.00%,5.77%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,49,0,49,0,6,0,0,104,3.413,0,0,0,0,104,
,47.12%,0.00%,47.12%,0.00%,5.77%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,49,0,49,0,6,0,0,104,3.413,0,0,0,0,104,
,47.12%,0.00%,47.12%,0.00%,5.77%,0.00%,0.00%,,,,,,,,
