DEPARTMENT:,b,COLLEGE OF EDUCATION,d,e,f,TOTAL,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff,gg,hh,ii,jj,kk,ll,mm,nn
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL   INSTRUCTOR,,,,,
CEHD-289-500,,,8,,0,,1,,0,,,0,,,9,,,3.777,,0,,,,False,,,False,,,0,,0,,9 ALEXANDER J,,,,,
,,,0.8889,,0.0,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,0,,1,,0,,,0,,,9,,,3.777,,0,,,,False,,,False,,,0,,0,,9,,,,,
,,,0.8889,,0.0,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,,8,,0,,1,,0,,,0,,,9,,,3.777,,0,,,,False,,,False,,,0,,0,,9,,,,,
,,,0.8889,,0.0,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT:,,EDUC ADMN & HUMAN RESOURCE DEV,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
EDAD-601-600,,,10,,1,,0,,0,,,0,,,11,,,3.909,,0,,,,False,,,False,,,0,,2,,13,,HAYNES DAVISON,,C,
,,,0.9091,,0.0909,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,10,,1,,0,,0,,,0,,,11,,,3.909,,0,,,,False,,,False,,,0,,2,,13,,,,,
,,,0.9091,,0.0909,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-602-600,,,5,,0,,0,,0,,,0,,,5,,,4.0,,1,,,,False,,,False,,,1,,0,,7,,JAMES GALLAWAY,,C,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,5,,0,,0,,0,,,0,,,5,,,4.0,,1,,,,False,,,False,,,1,,0,,7,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-603-600,,,11,,0,,0,,0,,,0,,,11,,,4.0,,0,,,,False,,,False,,,0,,0,,11,,HAYNES DAVISON,,C,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,11,,0,,0,,0,,,0,,,11,,,4.0,,0,,,,False,,,False,,,0,,0,,11,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-605-700,,,10,,0,,0,,0,,,0,,,10,,,4.0,,0,,,,False,,,False,,,0,,0,,10,,IRBY B,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,10,,0,,0,,0,,,0,,,10,,,4.0,,0,,,,False,,,False,,,0,,0,,10,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-610-600,,,21,,0,,0,,0,,,0,,,21,,,4.0,,0,,,,False,,,False,,,0,,0,,21,,BROWN J,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,21,,0,,0,,0,,,0,,,21,,,4.0,,0,,,,False,,,False,,,0,,0,,21,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-611-602,,,17,,2,,0,,0,,,0,,,19,,,3.894,,0,,,,False,,,False,,,0,,0,,19,,MUSOBA G,,,
,,,0.8947,,0.1053,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,17,,2,,0,,0,,,0,,,19,,,3.894,,0,,,,False,,,False,,,0,,0,,19,,,,,
,,,0.8947,,0.1053,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT:,,EDUC ADMN & HUMAN RESOURCE DEV,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
EDAD-612-600,,,13,,0,,0,,0,,,0,,13,,,,4.0,,0,,,0,,,0,,,False,,,0,,13,,,LECHUGA V,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,13,,0,,0,,0,,,0,,13,,,,4.0,,0,,,0,,,0,,,False,,,0,,13,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-616-600,,,16,,0,,0,,0,,,0,,16,,,,4.0,,0,,,0,,,0,,,False,,,0,,16,,,SAAVEDRA A,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,16,,0,,0,,0,,,0,,16,,,,4.0,,0,,,0,,,0,,,False,,,0,,16,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-624-700,,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,0,,,0,,,False,,,0,,10,,,FAHRENWALD C,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,0,,,0,,,False,,,0,,10,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-629-600,,,20,,1,,0,,0,,,0,,21,,,,3.952,,0,,,0,,,0,,,False,,,0,,21,,,STANLEY C,,
,,,0.9524,,0.0476,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,20,,1,,0,,0,,,0,,21,,,,3.952,,0,,,0,,,0,,,False,,,0,,21,,,,,
,,,0.9524,,0.0476,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-638-700,,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,0,,,0,,,False,,,0,,10,,,WEBB-JOHNSON G,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-638-701,,,9,,0,,0,,0,,,0,,9,,,,4.0,,0,,,0,,,0,,,False,,,0,,9,,,JAMES GALLAWAY C,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,19,,0,,0,,0,,,0,,19,,,,4.0,,0,,,0,,,0,,,False,,,0,,19,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-639-700,,,40,,1,,0,,0,,,0,,41,,,,3.975,,0,,,0,,,0,,,False,,,0,,41,,,FAHRENWALD C,,
,,,0.9756,,0.0244,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
