SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,cc,dd,X    TOTAL,ff,gg,hh,ii,jj,INSTRUCTOR,ll,mm
ACCT-209-501,,,100,,163,,137,,6,,,4,,410,,,,2.851,,1,,,0,,,0,,,15,,,1,,,427,,STASNY M,
,,,0.2439,,0.3976,,0.3341,,0.0146,,,0.0098,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-502,,,72,,196,,143,,3,,,4,,418,,,,2.787,,0,,,0,,,0,,,9,,,3,,,430,,STASNY M,
,,,0.1722,,0.4689,,0.3421,,0.0072,,,0.0096,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-503,,,1,,13,,9,,0,,,1,,24,,,,2.541,,0,,,0,,,0,,,1,,,0,,,25,,STASNY M,
,,,0.0417,,0.5417,,0.375,,0.0,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-504,,,2,,7,,14,,0,,,1,,24,,,,2.375,,0,,,0,,,0,,,1,,,0,,,25,,STASNY M,
,,,0.0833,,0.2917,,0.5833,,0.0,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,175,,379,,303,,9,,,10,,876,,,,2.799,,1,,,0,,,0,,,26,,,4,,,907,,,
,,,0.1998,,0.4326,,0.3459,,0.0103,,,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-501,,,7,,9,,13,,13,,,7,,49,,,,1.918,,0,,,0,,,0,,,5,,,0,,,54,,STRAWSER R,
,,,0.1429,,0.1837,,0.2653,,0.2653,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-502,,,14,,12,,8,,10,,,2,,46,,,,2.565,,0,,,0,,,0,,,8,,,0,,,54,,STRAWSER R,
,,,0.3043,,0.2609,,0.1739,,0.2174,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,21,,21,,21,,23,,,9,,95,,,,2.231,,0,,,0,,,0,,,13,,,0,,,108,,,
,,,0.2211,,0.2211,,0.2211,,0.2421,,,0.0947,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-201,,,19,,11,,0,,0,,,0,,30,,,,3.633,,0,,,0,,,0,,,1,,,0,,,31,,BENJAMIN J,
,,,0.6333,,0.3667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-202,,,13,,8,,1,,1,,,0,,23,,,,3.434,,0,,,0,,,0,,,1,,,0,,,24,,STRAWSER J,
,,,0.5652,,0.3478,,0.0435,,0.0435,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-501,,,12,,15,,15,,9,,,3,,54,,,,2.444,,0,,,0,,,0,,,15,,,0,,,69,,BARRETT J,
,,,0.2222,,0.2778,,0.2778,,0.1667,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-502,,,10,,15,,14,,15,,,0,,54,,,,2.37,,0,,,0,,,0,,,10,,,0,,,64,,BARRETT J,
,,,0.1852,,0.2778,,0.2593,,0.2778,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-503,,,10,,22,,15,,11,,,0,,58,,,,2.534,,0,,,0,,,0,,,7,,,0,,,65,,BARRETT J,
,,,0.1724,,0.3793,,0.2586,,0.1897,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,
ACCT-229-504,,,29,,23,,33,,21,,,3,,109,,,,2.495,,0,,,0,,,0,,,16,,,0,,,125,,KNOOP J,
,,,0.2661,,0.211,,0.3028,,0.1927,,,0.0275,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-505,,,8,,14,,22,,9,,,2,,55,,,,2.309,,0,,,0,,,0,,,7,,,0,,,62,,CLARKE M,
,,,0.1455,,0.2545,,0.4,,0.1636,,,0.0364,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-506,,,7,,15,,13,,17,,,1,,53,,,,2.188,,0,,,0,,,0,,,10,,,0,,,63,,CLARKE M,
,,,0.1321,,0.283,,0.2453,,0.3208,,,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-507,,,6,,10,,26,,6,,,2,,50,,,,2.24,,0,,,0,,,0,,,10,,,0,,,60,,CLARKE M,
,,,0.12,,0.2,,0.52,,0.12,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-508,,,7,,3,,8,,1,,,0,,19,,,,2.842,,0,,,0,,,0,,,6,,,0,,,25,,VAKIL T,
,,,0.3684,,0.1579,,0.4211,,0.0526,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-509,,,6,,15,,20,,7,,,0,,48,,,,2.416,,0,,,0,,,0,,,6,,,0,,,54,,HEAD M,
,,,0.125,,0.3125,,0.4167,,0.1458,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-510,,,6,,13,,10,,5,,,0,,34,,,,2.588,,0,,,0,,,0,,,3,,,0,,,37,,HEAD M,
,,,0.1765,,0.3824,,0.2941,,0.1471,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-511,,,9,,9,,13,,4,,,0,,35,,,,2.657,,0,,,0,,,0,,,3,,,0,,,38,,HEAD M,
,,,0.2571,,0.2571,,0.3714,,0.1143,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,142,,173,,190,,106,,,11,,622,,,,2.528,,0,,,0,,,0,,,95,,,0,,,717,,,
,,,0.2283,,0.2781,,0.3055,,0.1704,,,0.0177,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-201,,,29,,7,,0,,0,,,0,,36,,,,3.805,,0,,,0,,,0,,,0,,,0,,,36,,ALLEN N,
,,,0.8056,,0.1944,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-500,,,38,,54,,35,,19,,,0,,146,,,,2.76,,0,,,0,,,0,,,9,,,0,,,155,,ALLEN N,
,,,0.2603,,0.3699,,0.2397,,0.1301,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-502,,,48,,47,,40,,10,,,3,,148,,,,2.858,,0,,,0,,,0,,,8,,,0,,,156,,ALLEN N,
,,,0.3243,,0.3176,,0.2703,,0.0676,,,0.0203,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,115,,108,,75,,29,,,3,,330,,,,2.918,,0,,,0,,,0,,,17,,,0,,,347,,,
,,,0.3485,,0.3273,,0.2273,,0.0879,,,0.0091,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,INSTRUCTOR,
ACCT-327-501,,,5,,13,,8,,4,,,0,,,30,,,2.633,,0,,,,False,,,False,3,,,,,False,,33,,BLASOR T,
,,,0.1667,,0.4333,,0.2667,,0.1333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-502,,,8,,18,,7,,2,,,1,,,36,,,2.833,,0,,,,False,,,False,2,,,,,False,,38,,BLASOR T,
,,,0.2222,,0.5,,0.1944,,0.0556,,,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-503,,,8,,18,,6,,2,,,1,,,35,,,2.857,,0,,,,False,,,False,2,,,,,False,,37,,BLASOR T,
,,,0.2286,,0.5143,,0.1714,,0.0571,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-504,,,9,,14,,4,,0,,,1,,,28,,,3.071,,0,,,,False,,,False,9,,,,,False,,37,,LARKIN R,
,,,0.3214,,0.5,,0.1429,,0.0,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-505,,,4,,9,,10,,1,,,2,,,26,,,2.461,,0,,,,False,,,False,10,,,,,False,,36,,LARKIN R,
,,,0.1538,,0.3462,,0.3846,,0.0385,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-506,,,4,,11,,6,,3,,,0,,,24,,,2.666,,1,,,,False,,,False,9,,,,,False,,34,,LARKIN R,
,,,0.1667,,0.4583,,0.25,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-508,,,6,,11,,8,,1,,,0,,,26,,,2.846,,0,,,,False,,,False,9,,,,,False,,35,,LARKIN R,
,,,0.2308,,0.4231,,0.3077,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-509,,,6,,12,,9,,2,,,2,,,31,,,2.58,,0,,,,False,,,False,4,,,,,False,,35,,SHARP N,
,,,0.1935,,0.3871,,0.2903,,0.0645,,,0.0645,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-510,,,4,,20,,9,,1,,,0,,,34,,,2.794,,0,,,,False,,,False,4,,,,,False,,38,,SHARP N,
,,,0.1176,,0.5882,,0.2647,,0.0294,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-511,,,8,,17,,7,,2,,,0,,,34,,,2.911,,0,,,,False,,,False,4,,,,,False,,38,,SHARP N,
,,,0.2353,,0.5,,0.2059,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-513,,,8,,14,,9,,2,,,0,,,33,,,2.848,,0,,,,False,,,False,11,,,,,False,,44,,CLINE K,
,,,0.2424,,0.4242,,0.2727,,0.0606,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-514,,,4,,22,,10,,1,,,0,,,37,,,2.783,,0,,,,False,,,False,6,,,,,False,,43,,CLINE K,
,,,0.1081,,0.5946,,0.2703,,0.027,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-515,,,23,,24,,4,,0,,,1,,,52,,,3.307,,0,,,,False,,,False,3,,,,,False,,55,,BLASOR T,
,,,0.4423,,0.4615,,0.0769,,0.0,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,
