SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll
ACCT-209-501,,91,,180,,131,,3,,,2,,407,,,,2.872,,0,,,0,,,0,,,23,,,0,,,430,,STASNY M,
,,0.2236,,0.4423,,0.3219,,0.0074,,,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-502,,62,,194,,145,,1,,,4,,406,,,,2.761,,2,,,0,,,0,,,20,,,0,,,428,,STASNY M,
,,0.1527,,0.4778,,0.3571,,0.0025,,,0.0099,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-503,,5,,9,,7,,1,,,1,,23,,,,2.695,,0,,,0,,,0,,,2,,,0,,,25,,STASNY M,
,,0.2174,,0.3913,,0.3043,,0.0435,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-504,,7,,12,,5,,0,,,0,,24,,,,3.083,,0,,,0,,,0,,,0,,,0,,,24,,STASNY M,
,,0.2917,,0.5,,0.2083,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,165,,395,,288,,5,,,7,,860,,,,2.82,,2,,,0,,,0,,,45,,,0,,,907,,,
,,0.1919,,0.4593,,0.3349,,0.0058,,,0.0081,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-501,,58,,43,,32,,10,,,16,,159,,,,2.735,,1,,,0,,,0,,,8,,,0,,,168,,STRAWSER R,
,,0.3648,,0.2704,,0.2013,,0.0629,,,0.1006,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,58,,43,,32,,10,,,16,,159,,,,2.735,,1,,,0,,,0,,,8,,,0,,,168,,,
,,0.3648,,0.2704,,0.2013,,0.0629,,,0.1006,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-202,,11,,11,,1,,0,,,0,,23,,,,3.434,,0,,,0,,,0,,,0,,,0,,,23,,STRAWSER J,
,,0.4783,,0.4783,,0.0435,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-501,,11,,11,,11,,2,,,0,,35,,,,2.885,,0,,,0,,,0,,,9,,,0,,,44,,BARRETT J,
