,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-605-300,76,12,0,0,0,88,3.863,0,0,0,0,88,JOSEPH M
,86.36%,13.64%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-605-301,33,3,0,0,0,36,3.916,0,0,0,0,36,JOSEPH M
,91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,109,15,0,0,0,124,3.879,0,0,0,0,124,
,87.90%,12.10%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-610-300,29,37,21,1,0,88,3.068,0,0,0,0,88,AL ROUSAN R
,32.95%,42.05%,23.86%,1.14%,0.00%,,,,,,,,
PHAR-610-301,13,15,8,0,0,36,3.138,0,0,0,0,36,AL ROUSAN R
,36.11%,41.67%,22.22%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,42,52,29,1,0,124,3.088,0,0,0,0,124,
,33.87%,41.94%,23.39%,0.81%,0.00%,,,,,,,,
PHAR-626-300,21,31,30,6,0,88,2.761,0,0,0,0,88,BUSTAMANTE J
,23.86%,35.23%,34.09%,6.82%,0.00%,,,,,,,,
PHAR-626-301,7,20,9,0,0,36,2.944,0,0,0,0,36,BUSTAMANTE J
,19.44%,55.56%,25.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,28,51,39,6,0,124,2.814,0,0,0,0,124,
,22.58%,41.13%,31.45%,4.84%,0.00%,,,,,,,,
PHAR-627-300,19,29,27,12,0,87,2.632,0,0,0,1,88,DANIELS L
,21.84%,33.33%,31.03%,13.79%,0.00%,,,,,,,,
PHAR-627-301,5,16,15,0,0,36,2.722,0,0,0,0,36,DANIELS L
,13.89%,44.44%,41.67%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,24,45,42,12,0,123,2.658,0,0,0,1,124,
,19.51%,36.59%,34.15%,9.76%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-641-300,36,34,17,0,1,88,3.181,0,0,0,0,88,NUTAN M
,40.91%,38.64%,19.32%,0.00%,1.14%,,,,,,,,
PHAR-641-301,19,11,6,0,0,36,3.361,0,0,0,0,36,NUTAN M
,52.78%,30.56%,16.67%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,55,45,23,0,1,124,3.233,0,0,0,0,124,
,44.35%,36.29%,18.55%,0.00%,0.81%,,,,,,,,
PHAR-656-300,21,56,11,0,0,88,3.113,0,0,0,0,88,ALKHATEEB F
,23.86%,63.64%,12.50%,0.00%,0.00%,,,,,,,,
PHAR-656-301,14,18,4,0,0,36,3.277,0,0,0,0,36,ALKHATEEB F
