SECTION,b,c,A,e,B,g,C,i,D,k,l,F,n,A_2,- F,q,r,GPA,t,I,v,w,S,y,z,U,bb,Q,dd,ee,ff,X,hh,ii,TOTAL,kk,ll,INSTRUCTOR,nn,oo,pp
ACCT-209-501,,,82,,173,,144,,10,,,3,,,412,,,2.779,,0,,,,False,,,False,14,,,,,True,,427,,,STASNY M,,,
,,,0.199,,0.4199,,0.3495,,0.0243,,,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-502,,,91,,164,,144,,11,,,4,,,414,,,2.789,,0,,,,False,,,False,16,,,,,False,,430,,,STASNY M,,,
,,,0.2198,,0.3961,,0.3478,,0.0266,,,0.0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-503,,,2,,10,,12,,0,,,0,,,24,,,2.583,,0,,,,False,,,False,1,,,,,False,,25,,,STASNY M,,,
,,,0.0833,,0.4167,,0.5,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-504,,,1,,7,,12,,2,,,3,,,25,,,2.04,,0,,,,False,,,False,0,,,,,False,,25,,,STASNY M,,,
,,,0.04,,0.28,,0.48,,0.08,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,176,,354,,312,,23,,,10,,,875,,,2.757,,0,,,,False,,,False,31,,,,,True,,907,,,,,,
,,,0.2011,,0.4046,,0.3566,,0.0263,,,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-501,,,10,,23,,18,,8,,,4,,,63,,,2.428,,0,,,,False,,,False,2,,,,,True,,66,,,STRAWSER R,,,
,,,0.1587,,0.3651,,0.2857,,0.127,,,0.0635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-502,,,18,,28,,14,,7,,,4,,,71,,,2.69,,0,,,,False,,,False,3,,,,,False,,74,,,STRAWSER R,,,
,,,0.2535,,0.3944,,0.1972,,0.0986,,,0.0563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,28,,51,,32,,15,,,8,,,134,,,2.567,,0,,,,False,,,False,5,,,,,True,,140,,,,,,
,,,0.209,,0.3806,,0.2388,,0.1119,,,0.0597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-200,,,14,,10,,2,,0,,,0,,,26,,,3.461,,0,,,,False,,,False,0,,,,,False,,26,,,KNOOP J,,,
,,,0.5385,,0.3846,,0.0769,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-201,,,12,,10,,3,,0,,,0,,,25,,,3.36,,0,,,,False,,,False,1,,,,,False,,26,,,KNOOP J,,,
,,,0.48,,0.4,,0.12,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-501,,,7,,12,,5,,2,,,0,,,26,,,2.923,,0,,,,False,,,False,9,,,,,False,,35,,,BARRETT J,,,
,,,0.2692,,0.4615,,0.1923,,0.0769,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-502,,,6,,11,,8,,6,,,1,,,32,,,2.468,,0,,,,False,,,False,4,,,,,False,,36,,,BARRETT J,,,
,,,0.1875,,0.3438,,0.25,,0.1875,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-503,,,11,,13,,5,,3,,,0,,,32,,,3.0,,0,,,,False,,,False,5,,,,,False,,37,,,BARRETT J,,,
,,,0.3438,,0.4063,,0.1563,,0.0938,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,,Q,,,X,,,TOTAL,,,INSTRUCTOR,,,
ACCT-229-504,,,4,,14,,6,,4,,,0,,,28,,,2.642,,,0,,,False,,,False,,,6,,,False,,34,,,CLARKE M,,,
,,,0.1429,,0.5,,0.2143,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-505,,,8,,8,,10,,4,,,0,,,30,,,2.666,,,0,,,False,,,False,,,4,,,False,,34,,,CLARKE M,,,
,,,0.2667,,0.2667,,0.3333,,0.1333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-506,,,9,,14,,8,,2,,,0,,,33,,,2.909,,,0,,,False,,,False,,,2,,,True,,36,,,CLARKE M,,,
,,,0.2727,,0.4242,,0.2424,,0.0606,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-507,,,6,,11,,10,,4,,,2,,,33,,,2.454,,,0,,,False,,,False,,,2,,,False,,35,,,CLARKE M,,,
,,,0.1818,,0.3333,,0.303,,0.1212,,,0.0606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-508,,4,,12,,3,,4,,,0,,23,,,,2.695,,False,,,False,,,False,,,12,,,False,,,35,,,HEAD,,M,,
,,0.1739,,0.5217,,0.1304,,0.1739,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-509,,3,,8,,5,,3,,,0,,19,,,,2.578,,False,,,False,,,False,,,16,,,False,,,35,,,HEAD,,M,,
,,0.1579,,0.4211,,0.2632,,0.1579,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-510,,7,,11,,8,,6,,,0,,32,,,,2.593,,False,,,False,,,False,,,4,,,False,,,36,,,KARA,,M,,
,,0.2188,,0.3438,,0.25,,0.1875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-511,,5,,12,,10,,1,,,1,,29,,,,2.655,,False,,,False,,,False,,,6,,,False,,,35,,,RANE,,S,,
,,0.1724,,0.4138,,0.3448,,0.0345,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-512,,,9,12,,12,,3,,,0,,36,,,,2.75,,False,,,False,,,False,,,0,,,False,,,36,,,HEPFER,,,B,
,,,0.25,0.3333,,0.3333,,0.0833,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-513,,,5,11,,10,,3,,,1,,30,,,,2.533,,False,,,False,,,False,,,6,,,False,,,36,,,HEPFER,,,B,
,,,0.1667,0.3667,,0.3333,,0.1,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-514,,,9,10,,12,,3,,,2,,36,,,,2.583,,False,,,False,,,False,,,0,,,False,,,36,,,HEPFER,,,B,
,,,0.25,0.2778,,0.3333,,0.0833,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,119,179,,117,,48,,,7,,470,,,,2.755,,False,,,False,,,False,,,77,,,True,,,548,,,,,,,
,,,0.2532,0.3809,,0.2489,,0.1021,,,0.0149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
