SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,cc,dd,X    TOTAL,ff,gg,hh,ii,jj,INSTRUCTOR,ll,mm,nn,oo
ACCT-209-501,,,144,,174,,63,,6,,,5,,392,,,,3.137,,0,,,0,,,0,,,15,,,0,,,407,,,CLARKE M,,
,,,0.3673,,0.4439,,0.1607,,0.0153,,,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-502,,,152,,184,,55,,10,,,5,,406,,,,3.152,,0,,,0,,,0,,,11,,,0,,,417,,,CLARKE M,,
,,,0.3744,,0.4532,,0.1355,,0.0246,,,0.0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-503,,,6,,8,,4,,0,,,0,,18,,,,3.111,,0,,,0,,,0,,,2,,,0,,,20,,,CLARKE M,,
,,,0.3333,,0.4444,,0.2222,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-505,,,15,,40,,47,,10,,,6,,118,,,,2.406,,0,,,0,,,0,,,8,,,0,,,126,,,MARK S,,
,,,0.1271,,0.339,,0.3983,,0.0847,,,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,317,,406,,169,,26,,,16,,934,,,,3.051,,0,,,0,,,0,,,36,,,0,,,970,,,,,
,,,0.3394,,0.4347,,0.1809,,0.0278,,,0.0171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-501,,,90,,70,,22,,5,,,6,,193,,,,3.207,,0,,,0,,,0,,,3,,,1,,,197,,,STRAWSER R,,
,,,0.4663,,0.3627,,0.114,,0.0259,,,0.0311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,90,,70,,22,,5,,,6,,193,,,,3.207,,0,,,0,,,0,,,3,,,1,,,197,,,,,
,,,0.4663,,0.3627,,0.114,,0.0259,,,0.0311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-202,,,10,,14,,0,,0,,,0,,24,,,,3.416,,0,,,0,,,0,,,1,,,0,,,25,,,STRAWSER J,,
,,,0.4167,,0.5833,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-501,,,7,,9,,10,,8,,,1,,35,,,,2.371,,0,,,0,,,0,,,8,,,0,,,43,,,BARRETT J,,
