SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,cc,dd,X    TOTAL,ff,gg,hh,ii,jj,INSTRUCTOR,ll,mm,nn,oo
ACCT-209-501,,,85,,157,,114,,30,,,16,,402,,,,2.659,,0,,,0,,,0,,,37,,,0,,,439,,,CLARKE M,,
,,,0.2114,,0.3905,,0.2836,,0.0746,,,0.0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-502,,,68,,143,,158,,31,,,10,,410,,,,2.556,,0,,,0,,,0,,,47,,,0,,,457,,,CLARKE M,,
,,,0.1659,,0.3488,,0.3854,,0.0756,,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-503,,,0,,2,,7,,2,,,0,,11,,,,2.0,,0,,,0,,,0,,,3,,,0,,,14,,,CLARKE M,,
,,,0.0,,0.1818,,0.6364,,0.1818,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,153,,302,,279,,63,,,26,,823,,,,2.599,,0,,,0,,,0,,,87,,,0,,,910,,,,,
,,,0.1859,,0.367,,0.339,,0.0765,,,0.0316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-501,,,36,,64,,45,,12,,,18,,175,,,,2.502,,0,,,0,,,0,,,20,,,0,,,195,,,STRAWSER R,,
,,,0.2057,,0.3657,,0.2571,,0.0686,,,0.1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,36,,64,,45,,12,,,18,,175,,,,2.502,,0,,,0,,,0,,,20,,,0,,,195,,,,,
,,,0.2057,,0.3657,,0.2571,,0.0686,,,0.1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-202,,,10,,13,,1,,0,,,0,,24,,,,3.375,,0,,,0,,,0,,,0,,,0,,,24,,,STRAWSER J,,
,,,0.4167,,0.5417,,0.0417,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-501,,,10,,8,,9,,11,,,0,,38,,,,2.447,,0,,,0,,,0,,,3,,,0,,,41,,,BARRETT J,,
,,,0.2632,,0.2105,,0.2368,,0.2895,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-502,,,9,,8,,10,,11,,,1,,39,,,,2.333,,0,,,0,,,0,,,4,,,0,,,43,,,BARRETT J,,
,,,0.2308,,0.2051,,0.2564,,0.2821,,,0.0256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-503,,,11,,9,,15,,9,,,1,,45,,,,2.444,,0,,,0,,,0,,,9,,,1,,,55,,,BARRETT J,,
,,,0.2444,,0.2,,0.3333,,0.2,,,0.0222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-504,,,16,,19,,14,,15,,,0,,64,,,,2.562,,0,,,0,,,0,,,12,,,0,,,76,,,KNOOP J,,
,,,0.25,,0.2969,,0.2188,,0.2344,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-505,,,18,,18,,15,,9,,,4,,64,,,,2.578,,0,,,0,,,0,,,11,,,0,,,75,,,KNOOP J,,
,,,0.2813,,0.2813,,0.2344,,0.1406,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-506,,,6,,11,,14,,5,,,0,,36,,,,2.5,,0,,,0,,,0,,,9,,,0,,,45,,,ARNOSKY C,,
,,,0.1667,,0.3056,,0.3889,,0.1389,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,,
ACCT-229-507,,,6,,6,,12,,7,,,1,,32,,,,2.281,,0,,,0,,,0,,,6,,,0,,,38,,,ARNOSKY C,,
,,,0.1875,,0.1875,,0.375,,0.2188,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-509,,,4,,14,,10,,10,,,2,,40,,,,2.2,,0,,,0,,,0,,,18,,,0,,,58,,,ARNOSKY C,,
,,,0.1,,0.35,,0.25,,0.25,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-510,,,5,,10,,4,,5,,,2,,26,,,,2.423,,0,,,0,,,0,,,9,,,0,,,35,,,HEAD M,,
,,,0.1923,,0.3846,,0.1538,,0.1923,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-511,,,3,,10,,13,,5,,,0,,31,,,,2.354,,0,,,0,,,0,,,3,,,0,,,34,,,ZHAO W,,
,,,0.0968,,0.3226,,0.4194,,0.1613,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-512,,,8,,4,,7,,5,,,3,,27,,,,2.333,,0,,,0,,,0,,,5,,,0,,,32,,,TORI E,,
,,,0.2963,,0.1481,,0.2593,,0.1852,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,106,,130,,124,,92,,,14,,466,,,,2.476,,0,,,0,,,0,,,89,,,1,,,556,,,,,
,,,0.2275,,0.279,,0.2661,,0.1974,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-200,,,13,,8,,3,,1,,,0,,25,,,,3.32,,0,,,0,,,0,,,4,,,0,,,29,,,MCGOWAN A,,
,,,0.52,,0.32,,0.12,,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-201,,,25,,3,,2,,0,,,0,,30,,,,3.766,,0,,,0,,,0,,,0,,,0,,,30,,,STRAWSER R,,
,,,0.8333,,0.1,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-500,,,72,,80,,43,,15,,,1,,211,,,,2.981,,0,,,0,,,0,,,6,,,0,,,217,,,ALLEN N,,
,,,0.3412,,0.3791,,0.2038,,0.0711,,,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-501,,,5,,11,,15,,8,,,4,,43,,,,2.116,,0,,,0,,,0,,,10,,,0,,,53,,,ALLEN N,,
,,,0.1163,,0.2558,,0.3488,,0.186,,,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-502,,,61,,76,,50,,16,,,1,,204,,,,2.882,,0,,,0,,,0,,,14,,,0,,,218,,,ALLEN N,,
,,,0.299,,0.3725,,0.2451,,0.0784,,,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,176,,178,,113,,40,,,6,,513,,,,2.931,,0,,,0,,,0,,,34,,,0,,,547,,,,,
,,,0.3431,,0.347,,0.2203,,0.078,,,0.0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-501,,,9,,10,,6,,1,,,0,,26,,,,3.038,,1,,,0,,,0,,,8,,,0,,,35,,,BLASOR T,,
,,,0.3462,,0.3846,,0.2308,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,,Q,,,X,,,TOTAL,,,INSTRUCTOR,,
ACCT-327-502,,,8,,15,,5,,1,,,0,,,29,,,3.034,,,0,,,False,,,False,,,3,,,False,,32,,,BLASOR T,,
,,,0.2759,,0.5172,,0.1724,,0.0345,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-503,,,10,,10,,5,,3,,,1,,,29,,,2.862,,,0,,,False,,,False,,,5,,,False,,34,,,BLASOR T,,
,,,0.3448,,0.3448,,0.1724,,0.1034,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-504,,,7,,12,,9,,0,,,2,,,30,,,2.733,,,0,,,False,,,False,,,3,,,False,,33,,,LARKIN R,,
,,,0.2333,,0.4,,0.3,,0.0,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-505,,,11,,13,,5,,1,,,0,,,30,,,3.133,,,0,,,False,,,False,,,5,,,False,,35,,,LARKIN R,,
,,,0.3667,,0.4333,,0.1667,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-506,,,1,,10,,13,,1,,,0,,,25,,,2.44,,,0,,,False,,,False,,,7,,,False,,32,,,LARKIN R,,
,,,0.04,,0.4,,0.52,,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-507,,,5,,18,,7,,0,,,1,,,31,,,2.838,,,0,,,False,,,False,,,2,,,False,,33,,,LARKIN R,,
,,,0.1613,,0.5806,,0.2258,,0.0,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-508,,,7,,12,,11,,1,,,0,,,31,,,2.806,,,1,,,False,,,False,,,2,,,False,,34,,,LOUDDER M,,
,,,0.2258,,0.3871,,0.3548,,0.0323,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-509,,,5,16,,7,,2,,,0,,30,,,,2.8,,0,,,False,,,False,,,1,,,False,,,31,,,SHARP,,N,
,,,0.1667,0.5333,,0.2333,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-510,,,5,22,,5,,3,,,0,,35,,,,2.828,,0,,,False,,,False,,,2,,,False,,,37,,,SHARP,,N,
,,,0.1429,0.6286,,0.1429,,0.0857,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-511,,,8,13,,7,,3,,,1,,32,,,,2.75,,0,,,False,,,False,,,3,,,False,,,35,,,CLINE,,K,
,,,0.25,0.4063,,0.2188,,0.0938,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-512,,,11,12,,3,,3,,,1,,30,,,,2.966,,0,,,False,,,False,,,6,,,False,,,36,,,CLINE,,K,
,,,0.3667,0.4,,0.1,,0.1,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-516,,,6,10,,13,,1,,,0,,30,,,,2.7,,0,,,False,,,False,,,3,,,False,,,33,,,CLINE,,K,
,,,0.2,0.3333,,0.4333,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,93,173,,96,,20,,,6,,388,,,,2.842,,2,,,False,,,False,,,50,,,False,,,440,,,,,,
,,,0.2397,0.4459,,0.2474,,0.0515,,,0.0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
