SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,X,dd,ee,TOTAL,INSTRUCTOR,hh,ii,jj
ACCT-209-501,,93,,,199,,,111,,6,,5,,,414,,2.891,,0,,,True,,False,27,,,,0,,442,STASNY M,,,
,,0.2246,,,0.4807,,,0.2681,,0.0145,,0.0121,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-502,,92,,,208,,,119,,9,,5,,,433,,2.861,,1,,,False,,False,19,,,,0,,453,STASNY M,,,
,,0.2125,,,0.4804,,,0.2748,,0.0208,,0.0115,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-503,,2,,,4,,,7,,1,,1,,,15,,2.333,,0,,,False,,False,0,,,,0,,15,STASNY M,,,
,,0.1333,,,0.2667,,,0.4667,,0.0667,,0.0667,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,187,,,411,,,237,,16,,11,,,862,,2.866,,1,,,True,,False,46,,,,0,,910,,,,
,,0.2169,,,0.4768,,,0.2749,,0.0186,,0.0128,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-501,,26,,,22,,,13,,12,,4,,,77,,2.701,,0,,,False,,False,6,,,,2,,85,STRAWSER R,,,
,,0.3377,,,0.2857,,,0.1688,,0.1558,,0.0519,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-502,,37,,,25,,,18,,6,,5,,,91,,2.912,,0,,,False,,False,4,,,,0,,95,STRAWSER R,,,
,,0.4066,,,0.2747,,,0.1978,,0.0659,,0.0549,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,63,,,47,,,31,,18,,9,,,168,,2.815,,0,,,False,,False,10,,,,2,,180,,,,
,,0.375,,,0.2798,,,0.1845,,0.1071,,0.0536,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-200,,19,,,8,,,3,,1,,0,,,31,,3.451,,0,,,False,,False,1,,,,0,,32,KNOOP J,,,
,,0.6129,,,0.2581,,,0.0968,,0.0323,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-201,,14,,,17,,,1,,0,,0,,,32,,3.406,,0,,,False,,False,0,,,,0,,32,KNOOP J,,,
,,0.4375,,,0.5313,,,0.0313,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-501,,8,,,12,,,14,,5,,0,,,39,,2.589,,0,,,False,,False,5,,,,0,,44,BARRETT J,,,
,,0.2051,,,0.3077,,,0.359,,0.1282,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-502,,7,,,12,,,10,,7,,1,,,37,,2.459,,0,,,False,,False,9,,,,0,,46,BARRETT J,,,
,,0.1892,,,0.3243,,,0.2703,,0.1892,,0.027,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-503,,25,,,27,,,28,,6,,4,,,90,,2.7,,0,,,False,,False,15,,,,0,,105,BARRETT J,,,
,,0.2778,,,0.3,,,0.3111,,0.0667,,0.0444,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-504,,6,,,13,,,21,,11,,1,,,52,,2.23,,0,,,False,,False,16,,,,0,,68,HEAD M,,,
,,0.1154,,,0.25,,,0.4038,,0.2115,,0.0192,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-505,11,,,16,,,12,,,12,,1,,,52,2.461,,,0,,,False,False,,,14,,,0,,66,HEAD M,,,
,0.2115,,,0.3077,,,0.2308,,,0.2308,,0.0192,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-511,10,,,21,,,16,,,13,,0,,,60,2.466,,,0,,,False,False,,,7,,,0,,67,MUDGE,L,,
,0.1667,,,0.35,,,0.2667,,,0.2167,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-512,5,,,13,,,12,,,9,,0,,,39,2.358,,,0,,,False,False,,,7,,,0,,46,MUDGE,L,,
,0.1282,,,0.3333,,,0.3077,,,0.2308,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-513,12,,,16,,,17,,,6,,0,,,51,2.666,,,0,,,False,False,,,4,,,0,,55,MUDGE,L,,
,0.2353,,,0.3137,,,0.3333,,,0.1176,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-514,12,,,13,,,13,,,8,,0,,,46,2.63,,,0,,,False,False,,,10,,,0,,56,MUDGE,L,,
,0.2609,,,0.2826,,,0.2826,,,0.1739,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,129,,,168,,,147,,,78,,7,,,529,2.631,,,0,,,False,False,,,88,,,0,,617,,,,
,0.2439,,,0.3176,,,0.2779,,,0.1474,,0.0132,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-201,15,,,10,,,0,,,0,,0,,,25,3.6,,,0,,,False,False,,,0,,,0,,25,ALLEN,N,,
,0.6,,,0.4,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-501,52,,,81,,,58,,,15,,0,,,206,2.825,,,0,,,False,False,,,11,,,0,,217,ALLEN,N,,
,0.2524,,,0.3932,,,0.2816,,,0.0728,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-502,82,,,156,,,82,,,33,,6,,,359,2.766,,,0,,,False,False,,,34,,,1,,394,ALLEN,N,,
,0.2284,,,0.4345,,,0.2284,,,0.0919,,0.0167,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,149,,,247,,,140,,,48,,6,,,590,2.822,,,0,,,False,False,,,45,,,1,,636,,,,
,0.2525,,,0.4186,,,0.2373,,,0.0814,,0.0102,,,,,,,,,,,,,,,,,,,,,,,
ACCT-321-500,212,,,0,,,0,,,0,,0,,,212,4.0,,,0,,,False,False,,,0,,,0,,212,ROACH,K,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,212,,,0,,,0,,,0,,0,,,212,4.0,,,0,,,False,False,,,0,,,0,,212,,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-322-500,54,,,10,,,1,,,0,,1,,,66,3.757,,,0,,,False,False,,,0,,,0,,66,BLASOR T,,,
,0.8182,,,0.1515,,,0.0152,,,0.0,,0.0152,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,54,,,10,,,1,,,0,,1,,,66,3.757,,,0,,,False,False,,,0,,,0,,66,,,,
,0.8182,,,0.1515,,,0.0152,,,0.0,,0.0152,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-501,17,,,24,,,20,,,0,,0,,,61,2.95,,,1,,,False,False,,,6,,,0,,68,LARKIN,R,,
,0.2787,,,0.3934,,,0.3279,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-502,10,,,18,,,18,,,2,,3,,,51,2.588,,,0,,,False,False,,,10,,,0,,61,LARKIN,R,,
,0.1961,,,0.3529,,,0.3529,,,0.0392,,0.0588,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-503,12,,,18,,,13,,,1,,1,,,45,2.866,,,0,,,False,False,,,1,,,0,,46,LARKIN,R,,
,0.2667,,,0.4,,,0.2889,,,0.0222,,0.0222,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-504,8,,,25,,,24,,,3,,0,,,60,2.633,,,0,,,False,False,,,1,,,0,,61,REES L,,,
,0.1333,,,0.4167,,,0.4,,,0.05,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-505,18,,,29,,,9,,,4,,1,,,61,2.967,,,0,,,False,False,,,1,,,0,,62,REES L,,,
,0.2951,,,0.4754,,,0.1475,,,0.0656,,0.0164,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-506,12,,,11,,,3,,,0,,0,,,26,3.346,,,1,,,False,False,,,3,,,0,,30,KOLASINSKI,,A,
,0.4615,,,0.4231,,,0.1154,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,77,,,125,,,87,,,10,,5,,,304,2.851,,,2,,,False,False,,,22,,,0,,328,,,,
,0.2533,,,0.4112,,,0.2862,,,0.0329,,0.0164,,,,,,,,,,,,,,,,,,,,,,,
ACCT-328-501,15,,,14,,,10,,,0,,0,,,39,3.128,,,0,,,False,False,,,2,,,0,,41,RICE S,,,
,0.3846,,,0.359,,,0.2564,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-328-502,7,,,19,,,13,,,0,,0,,,39,2.846,,,0,,,False,False,,,2,,,0,,41,RICE S,,,
,0.1795,,,0.4872,,,0.3333,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-328-503,16,,,19,,,5,,,0,,0,,,40,3.275,,,0,,,False,False,,,0,,,0,,40,RICE S,,,
,0.4,,,0.475,,,0.125,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-328-504,11,,,16,,,9,,,1,,0,,,37,3.0,,,0,,,False,False,,,0,,,0,,37,GROSSMAN S,,,
