SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii,jj
AGCJ-105-500,,14,,,6,,,0,,0,,0,,,20,,3.7,,False,,,False,,False,,,0,,False,,20,WALTHER D,,,
,,0.7,,,0.3,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-105-501,,35,,,8,,,2,,0,,0,,,45,,3.733,,False,,,False,,False,,,0,,False,,45,WALTHER D,,,
,,0.7778,,,0.1778,,,0.0444,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,49,,,14,,,2,,0,,0,,,65,,3.723,,False,,,False,,False,,,0,,False,,65,,,,
,,0.7538,,,0.2154,,,0.0308,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-281-500,,28,,,17,,,1,,1,,0,,,47,,3.531,,False,,,False,,False,,,2,,False,,49,WAGNER S,,,
,,0.5957,,,0.3617,,,0.0213,,0.0213,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,28,,,17,,,1,,1,,0,,,47,,3.531,,False,,,False,,False,,,2,,False,,49,,,,
,,0.5957,,,0.3617,,,0.0213,,0.0213,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-306-700,,61,,,28,,,6,,2,,1,,,98,,3.489,,False,,,False,,False,,,1,,False,,99,DUNSFORD D,,,
,,0.6224,,,0.2857,,,0.0612,,0.0204,,0.0102,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,61,,,28,,,6,,2,,1,,,98,,3.489,,False,,,False,,False,,,1,,False,,99,,,,
,,0.6224,,,0.2857,,,0.0612,,0.0204,,0.0102,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-501,,14,,,11,,,6,,0,,2,,,33,,3.06,,False,,,False,,False,,,4,,False,,37,RUTHERFORD,True,,
,,0.4242,,,0.3333,,,0.1818,,0.0,,0.0606,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-700,,12,,,19,,,4,,1,,4,,,40,,2.85,,False,,,False,,False,,,5,,False,,45,RUTHERFORD,True,,
,,0.3,,,0.475,,,0.1,,0.025,,0.1,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,,30,,,10,,1,,6,,,73,,2.945,,False,,,False,,False,,,9,,False,,82,,,,
,,0.3562,,,0.411,,,0.137,,0.0137,,0.0822,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-308-500,,10,,,5,,,2,,0,,0,,,17,,3.47,,False,,,False,,False,,,0,,False,,17,REDWINE T,,,
,,0.5882,,,0.2941,,,0.1176,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,,5,,,2,,0,,0,,,17,,3.47,,False,,,False,,False,,,0,,False,,17,,,,
,,0.5882,,,0.2941,,,0.1176,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
MCGRATH P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-312-599,8,,,7,,,2,,,1,,3,,,21,2.761,,,False,,,False,False,,,1,,,False,,22,,,,
,0.381,,,0.3333,,,0.0952,,,0.0476,,0.1429,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-312-700,8,,,10,,,4,,,3,,0,,,25,2.92,,,False,,,False,False,,,0,,,False,,25,,,,
,0.32,,,0.4,,,0.16,,,0.12,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,16,,,17,,,6,,,4,,3,,,46,2.847,,,False,,,False,False,,,1,,,False,,47,,,,
,0.3478,,,0.3696,,,0.1304,,,0.087,,0.0652,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-901,8,,,10,,,5,,,1,,0,,,24,3.041,,,False,,,False,False,,,0,,,False,,24,,,,
,0.3333,,,0.4167,,,0.2083,,,0.0417,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-902,4,,,11,,,5,,,3,,0,,,23,2.695,,,False,,,False,False,,,0,,,False,,23,,,,
,0.1739,,,0.4783,,,0.2174,,,0.1304,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,,21,,,10,,,4,,0,,,47,2.872,,,False,,,False,False,,,0,,,False,,47,,,,
,0.2553,,,0.4468,,,0.2128,,,0.0851,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-901,12,,,9,,,2,,,0,,0,,,23,3.434,,,False,,,False,False,,,0,,,False,,23,,,,
,0.5217,,,0.3913,,,0.087,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-902,20,,,4,,,0,,,0,,0,,,24,3.833,,,False,,,False,False,,,0,,,False,,24,,,,
,0.8333,,,0.1667,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-903,15,,,8,,,1,,,0,,0,,,24,3.583,,,False,,,False,False,,,0,,,False,,24,,,,
,0.625,,,0.3333,,,0.0417,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,47,,,21,,,3,,,0,,0,,,71,3.619,,,False,,,False,False,,,0,,,False,,71,,,,
,0.662,,,0.2958,,,0.0423,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-366-501,2,,,6,,,1,,,0,,0,,,9,3.111,,,False,,,False,False,,,3,,,False,,12,,,,
,0.2222,,,0.6667,,,0.1111,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-366-502,2,,,1,,,1,,,1,,1,,,6,2.333,,,False,,,False,False,,,2,,,False,,8,,,,
,0.3333,,,0.1667,,,0.1667,,,0.1667,,0.1667,,,,,,,,,,,,,,,,,,,,,,,
MCGRATH P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGGETTE H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGGETTE H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALTHER D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALTHER D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
