SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii
AGCJ-305-700,,5,,,27,,,8,,2,,3,,,45,,2.644,,True,,,False,,False,,,True,,False,,47,DUNSFORD D,,
,,0.1111,,,0.6,,,0.1778,,0.0444,,0.0667,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,27,,,8,,2,,3,,,45,,2.644,,True,,,False,,False,,,True,,False,,47,,,
,,0.1111,,,0.6,,,0.1778,,0.0444,,0.0667,,,,,,,,,,,,,,,,,,,,,,
AGCJ-306-700,,34,,,5,,,1,,0,,0,,,40,,3.825,,False,,,False,,False,,,False,,False,,40,WALTHER D,,
,,0.85,,,0.125,,,0.025,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,34,,,5,,,1,,0,,0,,,40,,3.825,,False,,,False,,False,,,False,,False,,40,,,
,,0.85,,,0.125,,,0.025,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
AGCJ-308-250,,17,,,3,,,0,,0,,0,,,20,,3.85,,False,,,False,,False,,,False,,False,,20,REDWINE T,,
,,0.85,,,0.15,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,,3,,,0,,0,,0,,,20,,3.85,,False,,,False,,False,,,False,,False,,20,,,
,,0.85,,,0.15,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-900,,7,,,10,,,1,,1,,0,,,19,,3.21,,True,,,False,,False,,,False,,False,,20,DUNSFORD D,,
,,0.3684,,,0.5263,,,0.0526,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,,10,,,1,,1,,0,,,19,,3.21,,True,,,False,,False,,,False,,False,,20,,,
,,0.3684,,,0.5263,,,0.0526,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,
