,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR FALL 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,
DEPARTMENT:,MULTIDISCIPLINARY ENGINEERING,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
ITDE-689-600,0,0,0,0,25,4,0,0,0,9,34,SEARS N
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
ITDE-689-601,0,0,0,0,25,4,0,0,0,0,25,ROBBINS A
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,0,0,0,0,50,4,0,0,0,9,59,
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,0,0,0,0,50,4,0,0,0,9,59,
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,0,0,0,0,50,4,0,0,0,9,59,
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR FALL 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
IMED-800-35D,2,7,0,0,9,3.222,1,0,0,0,10,PIERATT W
,22.22%,77.78%,0.00%,0.00%,,,,,,,,
IMED-800-35H,2,8,0,0,10,3.2,0,0,0,0,10,PIERATT W
,20.00%,80.00%,0.00%,0.00%,,,,,,,,
IMED-800-35T,2,4,0,0,6,3.333,1,0,0,0,7,PIERATT W
,33.33%,66.67%,0.00%,0.00%,,,,,,,,
IMED-800-36D,3,7,0,0,10,3.3,0,0,0,0,10,PIERATT W
,30.00%,70.00%,0.00%,0.00%,,,,,,,,
IMED-800-36H,2,9,0,0,11,3.181,0,0,0,0,11,PIERATT W
,18.18%,81.82%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,11,35,0,0,46,3.239,2,0,0,0,48,
,23.91%,76.09%,0.00%,0.00%,,,,,,,,
MEID-605-300,21,120,0,2,143,3.104,0,0,0,0,143,CHICO D
,14.69%,83.92%,0.00%,1.40%,,,,,,,,
MEID-605-301,2,31,0,1,34,2.97,0,0,0,0,34,PETERSON T
,5.88%,91.18%,0.00%,2.94%,,,,,,,,
COURSE TOTAL:,23,151,0,3,177,3.079,0,0,0,0,177,
,12.99%,85.31%,0.00%,1.69%,,,,,,,,
MEID-606-300,21,122,0,0,143,3.146,0,0,0,0,143,MAXWELL S
,14.69%,85.31%,0.00%,0.00%,,,,,,,,
MEID-606-302,5,29,0,0,34,3.147,0,0,0,0,34,MAXWELL S
,14.71%,85.29%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,26,151,0,0,177,3.146,0,0,0,0,177,
,14.69%,85.31%,0.00%,0.00%,,,,,,,,
MEID-607-300,21,122,0,0,143,3.146,0,0,0,0,143,HUBBARD J
,14.69%,85.31%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR FALL 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MEID-607-302,5,28,0,1,34,3.058,0,0,0,0,34,HUBBARD J
,14.71%,82.35%,0.00%,2.94%,,,,,,,,
COURSE TOTAL:,26,150,0,1,177,3.129,0,0,0,0,177,
,14.69%,84.75%,0.00%,0.56%,,,,,,,,
MEID-619-30B,21,122,0,0,143,3.146,0,0,0,0,143,WATSON P
,14.69%,85.31%,0.00%,0.00%,,,,,,,,
MEID-619-30H,5,29,0,0,34,3.147,0,0,0,0,34,SIMPSON E
,14.71%,85.29%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,26,151,0,0,177,3.146,0,0,0,0,177,
,14.69%,85.31%,0.00%,0.00%,,,,,,,,
MEID-701-30B,1,37,0,0,38,3.026,0,0,0,0,38,CANNADAY R
,2.63%,97.37%,0.00%,0.00%,,,,,,,,
MEID-701-30D,6,23,0,0,29,3.206,0,0,0,0,29,CANNADAY R
,20.69%,79.31%,0.00%,0.00%,,,,,,,,
MEID-701-30H,4,21,0,0,25,3.16,0,0,0,0,25,CANNADAY R
,16.00%,84.00%,0.00%,0.00%,,,,,,,,
MEID-701-30T,5,24,0,0,29,3.172,0,0,0,0,29,CANNADAY R
,17.24%,82.76%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,16,105,0,0,121,3.132,0,0,0,0,121,
,13.22%,86.78%,0.00%,0.00%,,,,,,,,
MEID-704-303,4,21,0,0,25,3.16,0,0,0,0,25,CHAFFER S
,16.00%,84.00%,0.00%,0.00%,,,,,,,,
MEID-704-304,4,34,1,0,39,3.051,0,0,0,0,39,BAXTER D
,10.26%,87.18%,2.56%,0.00%,,,,,,,,
MEID-704-305,8,20,1,0,29,3.206,0,0,0,0,29,CHAFFER S
,27.59%,68.97%,3.45%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR FALL 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MEID-704-306,3,25,1,0,29,3.034,0,0,0,0,29,BAXTER D
,10.34%,86.21%,3.45%,0.00%,,,,,,,,
COURSE TOTAL:,19,100,3,0,122,3.106,0,0,0,0,122,
,15.57%,81.97%,2.46%,0.00%,,,,,,,,
MEID-706-300,5,34,0,0,39,3.128,0,0,0,0,39,SCHILLER L
,12.82%,87.18%,0.00%,0.00%,,,,,,,,
MEID-706-301,5,24,0,0,29,3.172,0,0,0,0,29,SCHILLER L
,17.24%,82.76%,0.00%,0.00%,,,,,,,,
MEID-706-303,5,24,0,0,29,3.172,0,0,0,0,29,HURDLE J
,17.24%,82.76%,0.00%,0.00%,,,,,,,,
MEID-706-304,4,21,0,0,25,3.16,0,0,0,0,25,SCHILLER L
,16.00%,84.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,19,103,0,0,122,3.155,0,0,0,0,122,
,15.57%,84.43%,0.00%,0.00%,,,,,,,,
MEID-707-301,4,24,0,1,29,3.034,0,0,0,0,29,BRANDT P
,13.79%,82.76%,0.00%,3.45%,,,,,,,,
MEID-707-302,4,21,0,0,25,3.16,0,0,0,0,25,BRANDT P
,16.00%,84.00%,0.00%,0.00%,,,,,,,,
MEID-707-303,7,31,0,1,39,3.102,0,0,0,0,39,MEININGER C
,17.95%,79.49%,0.00%,2.56%,,,,,,,,
MEID-707-304,3,25,0,1,29,3,0,0,0,0,29,BRANDT P
,10.34%,86.21%,0.00%,3.45%,,,,,,,,
COURSE TOTAL:,18,101,0,3,122,3.073,0,0,0,0,122,
,14.75%,82.79%,0.00%,2.46%,,,,,,,,
MEID-708-301,8,21,0,0,29,3.275,0,0,0,0,29,MEININGER C
,27.59%,72.41%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR FALL 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MEID-708-302,4,21,0,0,25,3.16,0,0,0,0,25,WILSON E
,16.00%,84.00%,0.00%,0.00%,,,,,,,,
MEID-708-303,5,24,0,0,29,3.172,0,0,0,0,29,MEININGER C
,17.24%,82.76%,0.00%,0.00%,,,,,,,,
MEID-708-304,2,37,0,0,39,3.051,0,0,0,0,39,WILSON E
,5.13%,94.87%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,19,103,0,0,122,3.155,0,0,0,0,122,
,15.57%,84.43%,0.00%,0.00%,,,,,,,,
