SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii,jj
ATMO-201-299,,51,,,53,,,31,,2,,1,,,138,,3.094,,True,,,False,,False,,,True,,0,,140,EPIFANIO C,,,
,,0.3696,,,0.3841,,,0.2246,,0.0145,,0.0072,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,51,,,53,,,31,,2,,1,,,138,,3.094,,True,,,False,,False,,,True,,0,,140,,,,
,,0.3696,,,0.3841,,,0.2246,,0.0145,,0.0072,,,,,,,,,,,,,,,,,,,,,,,
ATMO-489-150,,21,,,0,,,0,,0,,0,,,21,,4.0,,False,,,False,,False,,,False,,0,,21,CONLEE D,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,,0,,,0,,0,,0,,,21,,4.0,,False,,,False,,False,,,False,,0,,21,,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ATMO-629-100,,22,,,0,,,0,,0,,0,,,22,,4.0,,False,,,False,,False,,,False,,0,,22,NORTH J,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,,0,,,0,,0,,0,,,22,,4.0,,False,,,False,,False,,,False,,0,,22,,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,94,,,53,,,31,,2,,1,,,181,,3.309,,True,,,False,,False,,,True,,0,,183,,,,
,,0.5193,,,0.2928,,,0.1713,,0.011,,0.0055,,,,,,,,,,,,,,,,,,,,,,,
GEOG-201-199,8,,,24,,,8,,6,,,3,,,49,2.571,,,False,,,False,False,,,1,,,0,,50,LODER T,,,
,0.1633,,,0.4898,,,0.1633,,0.1224,,,0.0612,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,24,,,8,,6,,,3,,,49,2.571,,,False,,,False,False,,,1,,,0,,50,,,,
,0.1633,,,0.4898,,,0.1633,,0.1224,,,0.0612,,,,,,,,,,,,,,,,,,,,,,,
GEOG-202-200,13,,,25,,,12,,0,,,0,,,50,3.02,,,False,,,False,False,,,0,,,0,,50,SMITH J,,,
,0.26,,,0.5,,,0.24,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,25,,,12,,0,,,0,,,50,3.02,,,False,,,False,False,,,0,,,0,,50,,,,
,0.26,,,0.5,,,0.24,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GEOG-203-298,110,,,44,,,14,,4,,,3,,,175,3.451,,,True,,,False,False,,,2,,,0,,178,LOISEL J,,,
,0.6286,,,0.2514,,,0.08,,0.0229,,,0.0171,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,110,,,44,,,14,,4,,,3,,,175,3.451,,,True,,,False,False,,,2,,,0,,178,,,,
,0.6286,,,0.2514,,,0.08,,0.0229,,,0.0171,,,,,,,,,,,,,,,,,,,,,,,
GEOG-213-299,22,,,16,,,8,,1,,,7,,,54,2.833,,,False,,,True,False,,,3,,,0,,58,SCHIFF J,,,
,0.4074,,,0.2963,,,0.1481,,0.0185,,,0.1296,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,22,,,16,,,8,,1,,,7,,,54,2.833,,,False,,,True,False,,,3,,,0,,58,,,,
,0.4074,,,0.2963,,,0.1481,,0.0185,,,0.1296,,,,,,,,,,,,,,,,,,,,,,,
GEOG-390-101,9,,,5,,,2,,1,,,2,,,19,2.947,,,False,,,False,False,,,0,,,0,,19,THOMPSON,C,,
,0.4737,,,0.2632,,,0.1053,,0.0526,,,0.1053,,,,,,,,,,,,,,,,,,,,,,,
GEOG-390-102,6,,,3,,,3,,3,,,2,,,17,2.47,,,False,,,False,False,,,0,,,0,,17,THOMPSON,C,,
,0.3529,,,0.1765,,,0.1765,,0.1765,,,0.1176,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,8,,,5,,4,,,4,,,36,2.722,,,False,,,False,False,,,0,,,0,,36,,,,
,0.4167,,,0.2222,,,0.1389,,0.1111,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,
GEOG-450-100,9,,,5,,,0,,0,,,1,,,15,3.4,,,False,,,False,False,,,0,,,0,,15,PROUT E,,,
,0.6,,,0.3333,,,0.0,,0.0,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,5,,,0,,0,,,1,,,15,3.4,,,False,,,False,False,,,0,,,0,,15,,,,
,0.6,,,0.3333,,,0.0,,0.0,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,
GEOG-491-317,9,,,1,,,1,,0,,,0,,,11,3.727,,,False,,,False,False,,,0,,,0,,11,,,,
,0.8182,,,0.0909,,,0.0909,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,1,,,1,,0,,,0,,,11,3.727,,,False,,,False,False,,,0,,,0,,11,,,,
,0.8182,,,0.0909,,,0.0909,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GEOG-660-775,15,,,0,,,0,,0,,,0,,,15,4.0,,,False,,,False,False,,,0,,,2,,17,,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,0,,,0,,0,,,0,,,15,4.0,,,False,,,False,False,,,0,,,2,,17,,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GEOG-662-775,10,,,1,,,0,,0,,,0,,,11,3.909,,,False,,,False,False,,,1,,,0,,12,,,,
,0.9091,,,0.0909,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,1,,,0,,0,,,0,,,11,3.909,,,False,,,False,False,,,1,,,0,,12,,,,
,0.9091,,,0.0909,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
