SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,kk,INSTRUCTOR,mm
CHEM-107-401,,10,,14,,15,,5,,,1,,,45,,,2.6,,0,,,,False,,,False,4,,,,,False,,49,,,NAIR R,
,,0.2222,,0.3111,,0.3333,,0.1111,,,0.0222,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-107-403,,19,,18,,14,,4,,,1,,,56,,,2.892,,0,,,,False,,,False,4,,,,,False,,60,,,NAIR R,
,,0.3393,,0.3214,,0.25,,0.0714,,,0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-107-404,,12,,11,,11,,2,,,1,,,37,,,2.837,,0,,,,False,,,False,5,,,,,False,,42,,,NAIR R,
,,0.3243,,0.2973,,0.2973,,0.0541,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-107-405,,5,,13,,27,,6,,,2,,,53,,,2.245,,0,,,,False,,,False,3,,,,,True,,57,,,TOWNSEND G,
,,0.0943,,0.2453,,0.5094,,0.1132,,,0.0377,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,46,,56,,67,,17,,,5,,,191,,,2.633,,0,,,,False,,,False,16,,,,,True,,208,,,,
,,0.2408,,0.2932,,0.3508,,0.089,,,0.0262,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-401,,1,,14,,1,,3,,,0,,,19,,,2.684,,0,,,,False,,,False,0,,,,,False,,19,,,TOWNSEND G,
,,0.0526,,0.7368,,0.0526,,0.1579,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-403,,1,,13,,5,,0,,,0,,,19,,,2.789,,0,,,,False,,,False,1,,,,,False,,20,,,TOWNSEND G,
,,0.0526,,0.6842,,0.2632,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-405,,9,,5,,0,,1,,,3,,,18,,,2.888,,0,,,,False,,,False,0,,,,,False,,18,,,TOWNSEND G,
,,0.5,,0.2778,,0.0,,0.0556,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-406,,4,,12,,2,,0,,,0,,,18,,,3.111,,0,,,,False,,,False,0,,,,,False,,18,,,TOWNSEND G,
,,0.2222,,0.6667,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
