SECTION,b,c,A,e,B,g,C,i,D,k,l,F,n,A_2,- F,q,r,GPA,t,I,v,w,S,y,z,U,bb,Q,dd,ee,ff,X,hh,TOTAL,jj,INSTRUCTOR,ll,mm
ANTH-201-199,,,16,,9,,1,,1,,,0,,,27,,,3.481,,0,,,,False,,,False,,,0,,0,,27,,GURSKY S,,
,,,0.5926,,0.3333,,0.037,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,16,,9,,1,,1,,,0,,,27,,,3.481,,0,,,,False,,,False,,,0,,0,,27,,,,
,,,0.5926,,0.3333,,0.037,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-200,,,5,,0,,0,,1,,,0,,,6,,,3.5,,0,,,,False,,,False,,,0,,0,,6,,THAKAR H,,
,,,0.8333,,0.0,,0.0,,0.1667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-201,,,26,,14,,11,,7,,,4,,,62,,,2.822,,0,,,,False,,,False,,,7,,0,,69,,ALVARD M,,
,,,0.4194,,0.2258,,0.1774,,0.1129,,,0.0645,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,31,,14,,11,,8,,,4,,,68,,,2.882,,0,,,,False,,,False,,,7,,0,,75,,,,
,,,0.4559,,0.2059,,0.1618,,0.1176,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,,47,,23,,12,,9,,,4,,,95,,,3.052,,0,,,,False,,,False,,,7,,0,,102,,,,
,,,0.4947,,0.2421,,0.1263,,0.0947,,,0.0421,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
FILM-251-100,,,28,,11,,1,,2,,,0,,,42,,,3.547,,0,,,,False,,,False,,,0,,0,,42,,SIMMS M,,
,,,0.6667,,0.2619,,0.0238,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,28,,11,,1,,2,,,0,,,42,,,3.547,,0,,,,False,,,False,,,0,,0,,42,,,,
,,,0.6667,,0.2619,,0.0238,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
FILM-356-200,,,2,,3,,0,,0,,,0,,,5,,,3.4,,0,,,,False,,,False,,,0,,0,,5,,SADLER L,,
,,,0.4,,0.6,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,2,,3,,0,,0,,,0,,,5,,,3.4,,0,,,,False,,,False,,,0,,0,,5,,,,
,,,0.4,,0.6,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
WGST-207-100,,,5,,0,,0,,0,,,0,,,5,,,4.0,,0,,,,False,,,False,,,0,,0,,5,,ORTIZ S,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,5,,0,,0,,0,,,0,,,5,,,4.0,,0,,,,False,,,False,,,0,,0,,5,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,,35,,14,,1,,2,,,0,,,52,,,3.576,,0,,,,False,,,False,,,0,,0,,52,,,,
,,,0.6731,,0.2692,,0.0192,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
COMM-203-100,,,18,,6,,0,,0,,,0,,24,,,,3.75,,0,,,0,,,0,,,1,,,0,,25,,,ADUEN RAMIREZ M,
,,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-101,,,17,,3,,1,,0,,,1,,22,,,,3.59,,0,,,0,,,0,,,3,,,0,,25,,,GALAL A,
,,,0.7727,,0.1364,,0.0455,,0.0,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-102,,,3,,12,,4,,1,,,0,,20,,,,2.85,,0,,,0,,,0,,,3,,,0,,23,,,JACKSON T,
,,,0.15,,0.6,,0.2,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-103,,,15,,1,,5,,1,,,2,,24,,,,3.083,,0,,,0,,,0,,,0,,,0,,24,,,JENNINGS P,
,,,0.625,,0.0417,,0.2083,,0.0417,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-104,,,8,,5,,3,,5,,,3,,24,,,,2.416,,0,,,0,,,0,,,0,,,0,,24,,,LANDMARK S,
,,,0.3333,,0.2083,,0.125,,0.2083,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-105,,,11,,4,,6,,1,,,3,,25,,,,2.76,,0,,,0,,,0,,,0,,,0,,25,,,NEUKIRCH P,
,,,0.44,,0.16,,0.24,,0.04,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-106,,,19,,3,,2,,0,,,0,,24,,,,3.708,,0,,,0,,,0,,,0,,,0,,24,,,SHAW L,
,,,0.7917,,0.125,,0.0833,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-107,,,14,,5,,1,,0,,,1,,21,,,,3.476,,0,,,0,,,0,,,1,,,0,,22,,,SIEGFRIED K,
,,,0.6667,,0.2381,,0.0476,,0.0,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
