SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,kk,INSTRUCTOR,mm
CHEM-102-200,,4,,5,,2,,0,,,0,,,11,,,3.181,,0,,,,False,,,False,0,,,,,False,,11,,,GALAN J,
,,0.3636,,0.4545,,0.1818,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-102-401,,18,,22,,18,,9,,,1,,,68,,,2.691,,0,,,,False,,,False,3,,,,,False,,71,,,TOWNSEND G,
,,0.2647,,0.3235,,0.2647,,0.1324,,,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-102-402,,5,,8,,5,,7,,,7,,,32,,,1.906,,0,,,,False,,,False,8,,,,,False,,40,,,NAIR R,
,,0.1563,,0.25,,0.1563,,0.2188,,,0.2188,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-102-403,,6,,3,,9,,10,,,5,,,33,,,1.848,,0,,,,False,,,False,6,,,,,False,,39,,,NAIR R,
,,0.1818,,0.0909,,0.2727,,0.303,,,0.1515,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,33,,38,,34,,26,,,13,,,144,,,2.361,,0,,,,False,,,False,17,,,,,False,,161,,,,
,,0.2292,,0.2639,,0.2361,,0.1806,,,0.0903,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-106-401,,7,,8,,2,,2,,,0,,,19,,,3.052,,0,,,,False,,,False,0,,,,,False,,19,,,TOWNSEND G,
,,0.3684,,0.4211,,0.1053,,0.1053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,8,,2,,2,,,0,,,19,,,3.052,,0,,,,False,,,False,0,,,,,False,,19,,,,
,,0.3684,,0.4211,,0.1053,,0.1053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-107-401,,1,,7,,18,,14,,,6,,,46,,,1.63,,0,,,,False,,,False,6,,,,,False,,52,,,NAIR R,
,,0.0217,,0.1522,,0.3913,,0.3043,,,0.1304,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,7,,18,,14,,,6,,,46,,,1.63,,0,,,,False,,,False,6,,,,,False,,52,,,,
,,0.0217,,0.1522,,0.3913,,0.3043,,,0.1304,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-111-401,,0,,2,,7,,3,,,3,,,15,,,1.533,,0,,,,False,,,False,1,,,,,False,,16,,,TOWNSEND G,
,,0.0,,0.1333,,0.4667,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-111-403,,4,,4,,5,,1,,,1,,,15,,,2.6,,0,,,,False,,,False,0,,,,,False,,15,,,TOWNSEND G,
,,0.2667,,0.2667,,0.3333,,0.0667,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,6,,12,,4,,,4,,,30,,,2.066,,0,,,,False,,,False,1,,,,,False,,31,,,,
,,0.1333,,0.2,,0.4,,0.1333,,,0.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,
CHEM-112-200,,5,,4,,1,,0,,,0,,,10,,,3.4,,0,,,,False,,,False,,,0,,0,,,10,,TOWNSEND G,,
