SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,TOTAL,INSTRUCTOR
BIOL-100-500,,16,,1,,0,,0,,0,,,17,,3.941,,0,,,False,,False,,0,,0,,17,RAO A
,,0.9412,,0.0588,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,1,,0,,0,,0,,,17,,3.941,,0,,,False,,False,,0,,0,,17,
,,0.9412,,0.0588,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-107-500,,17,,3,,3,,0,,0,,,23,,3.608,,0,,,False,,False,,0,,0,,23,LEE C
,,0.7391,,0.1304,,0.1304,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-107-507,,14,,6,,2,,1,,0,,,23,,3.434,,0,,,False,,False,,0,,0,,23,LEE C
,,0.6087,,0.2609,,0.087,,0.0435,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-107-508,,7,,11,,4,,1,,1,,,24,,2.916,,0,,,False,,False,,0,,0,,24,LEE C
,,0.2917,,0.4583,,0.1667,,0.0417,,0.0417,,,,,,,,,,,,,,,,,,,
BIOL-107-509,,10,,7,,2,,0,,0,,,19,,3.421,,0,,,False,,False,,1,,0,,20,LEE C
,,0.5263,,0.3684,,0.1053,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-107-510,,7,,8,,2,,2,,3,,,22,,2.636,,0,,,False,,False,,0,,0,,22,LEE C
,,0.3182,,0.3636,,0.0909,,0.0909,,0.1364,,,,,,,,,,,,,,,,,,,
BIOL-107-511,,14,,5,,0,,2,,1,,,22,,3.318,,0,,,False,,False,,1,,0,,23,LEE C
,,0.6364,,0.2273,,0.0,,0.0909,,0.0455,,,,,,,,,,,,,,,,,,,
BIOL-107-512,,16,,7,,1,,0,,0,,,24,,3.625,,0,,,False,,False,,0,,0,,24,LEE C
,,0.6667,,0.2917,,0.0417,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-107-513,,12,,9,,0,,1,,0,,,22,,3.454,,0,,,False,,False,,0,,0,,22,LEE C
,,0.5455,,0.4091,,0.0,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-107-514,,11,,7,,2,,1,,0,,,21,,3.333,,0,,,False,,False,,1,,0,,22,LEE C
,,0.5238,,0.3333,,0.0952,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-107-515,,15,,6,,2,,0,,0,,,23,,3.565,,0,,,False,,False,,0,,0,,23,LEE C
,,0.6522,,0.2609,,0.087,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,123,,69,,18,,8,,5,,,223,,3.331,,0,,,False,,False,,3,,0,,226,
,,0.5516,,0.3094,,0.0807,,0.0359,,0.0224,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR
BIOL-111-201,,6,,3,,2,,0,,0,,,11,,3.363,,0,,,False,,False,,1,,0,,12,RYAN K
,,0.5455,,0.2727,,0.1818,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-202,,8,,2,,2,,0,,0,,,12,,3.5,,0,,,False,,False,,0,,0,,12,RYAN K
,,0.6667,,0.1667,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
BIOL-111-203,,5,,4,,2,,0,,0,,,11,,3.272,,0,,,False,,False,,1,,0,,12,RYAN K
