SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL,ff,INSTRUCTOR,hh,ii,jj,kk
CHEN-432-300,,3,,,8,,0,,0,,0,,,11,,3.272,,False,,,False,,False,,,False,,False,,11,,SALAMA G,,,,
,,0.2727,,,0.7273,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,,8,,0,,0,,0,,,11,,3.272,,False,,,False,,False,,,False,,False,,11,,,,,,
,,0.2727,,,0.7273,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-489-300,,8,,,1,,0,,0,,0,,,9,,3.888,,False,,,False,,False,,,True,,False,,10,,CHENG Z,,,,
,,0.8889,,,0.1111,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,,1,,0,,0,,0,,,9,,3.888,,False,,,False,,False,,,True,,False,,10,,,,,,
,,0.8889,,,0.1111,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,11,,,9,,0,,0,,0,,,20,,3.612,,False,,,False,,False,,,True,,False,,21,,,,,,
,,0.55,,,0.45,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ASCC-289-300,0,,,6,,,0,1,,,0,,,7,,2.714,,False,,,False,False,,,0,,,False,,,7,ELSHEIKH,A,,,
,0.0,,,0.8571,,,0.0,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,0,,,6,,,0,1,,,0,,,7,,2.714,,False,,,False,False,,,0,,,False,,,7,,,,,
,0.0,,,0.8571,,,0.0,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-210-301,17,,,1,,,0,0,,,0,,,18,,3.944,,False,,,False,False,,,0,,,False,,,18,HINGTGEN,L,,,
,0.9444,,,0.0556,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-210-302,16,,,2,,,0,0,,,0,,,18,,3.888,,False,,,False,False,,,0,,,False,,,18,HINGTGEN,L,,,
,0.8889,,,0.1111,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,33,,,3,,,0,0,,,0,,,36,,3.916,,False,,,False,False,,,0,,,False,,,36,,,,,
,0.9167,,,0.0833,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-219-300,22,,,0,,,1,1,,,0,,,24,,3.791,,False,,,False,False,,,1,,,True,,,26,GOOGASIAN V,,,,
,0.9167,,,0.0,,,0.0417,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,22,,,0,,,1,1,,,0,,,24,,3.791,,False,,,False,False,,,1,,,True,,,26,,,,,
,0.9167,,,0.0,,,0.0417,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-230-300,15,,,1,,,0,0,,,0,,,16,,3.937,,False,,,False,False,,,0,,,False,,,16,BOUNDS B,,,,
,0.9375,,,0.0625,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,1,,,0,0,,,0,,,16,,3.937,,False,,,False,False,,,0,,,False,,,16,,,,,
,0.9375,,,0.0625,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-258-300,21,,,0,,,0,0,,,0,,,21,,4.0,,False,,,False,False,,,1,,,False,,,22,VAN DE LOGT,,M,,
,1.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,21,,,0,,,0,0,,,0,,,21,,4.0,,False,,,False,False,,,1,,,False,,,22,,,,,
,1.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
POLS-206-300,18,,,3,,,0,0,,,0,,,21,,3.857,,False,,,False,False,,,0,,,False,,,21,ROGERS J,,,,
,0.8571,,,0.1429,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,3,,,0,0,,,0,,,21,,3.857,,False,,,False,False,,,0,,,False,,,,,,,,
,0.8571,,,0.1429,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
POLS-207-300,25,,,4,,,1,0,,,0,,,30,,3.8,,False,,,False,False,,,0,,,False,,,,,,,,
,0.8333,,,0.1333,,,0.0333,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,25,,,4,,,1,0,,,0,,,30,,3.8,,False,,,False,False,,,0,,,False,,,,,,,,
,0.8333,,,0.1333,,,0.0333,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,134,,,17,,,2,2,,,0,,,155,,3.825,,False,,,False,False,,,2,,,True,,,,,,,,
,0.8645,,,0.1097,,,0.0129,0.0129,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 ROGERS J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
