SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL   INSTRUCTOR,gg,hh,ii
CHEN-414-300,,4,,,5,,,0,,0,,0,,,9,,3.444,,False,,,False,,False,,,False,,False,,9 ELSAID K,,,
,,0.4444,,,0.5556,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,,5,,,0,,0,,0,,,9,,3.444,,False,,,False,,False,,,False,,False,,9,,,
,,0.4444,,,0.5556,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,4,,,5,,,0,,0,,0,,,9,,3.444,,False,,,False,,False,,,False,,False,,9,,,
,,0.4444,,,0.5556,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COMM-335-300,15,,,6,,,2,,,0,,0,,,23,,3.565,,False,,,False,False,,,1,,,False,,24,WILLIAMS J,,
,0.6522,,,0.2609,,,0.087,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,6,,,2,,,0,,0,,,23,,3.565,,False,,,False,False,,,1,,,False,,24,,,
,0.6522,,,0.2609,,,0.087,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ENGL-210-301,7,,,1,,,0,,,0,,0,,,8,,3.875,,False,,,False,False,,,1,,,False,,9,RUDD L,,
,0.875,,,0.125,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ENGL-210-302,10,,,3,,,1,,,0,,0,,,14,,3.642,,False,,,False,False,,,0,,,False,,14,HODGES A,,
,0.7143,,,0.2143,,,0.0714,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,17,,,4,,,1,,,0,,0,,,22,,3.727,,False,,,False,False,,,1,,,False,,23,,,
,0.7727,,,0.1818,,,0.0455,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ENGL-219-300,13,,,0,,,0,,,0,,0,,,13,,4.0,,False,,,False,False,,,0,,,False,,13,WARD S,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,0,,,0,,,0,,0,,,13,,4.0,,False,,,False,False,,,0,,,False,,13,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ENGR-482-950,3,,,2,,,0,,,0,,0,,,5,,3.6,,False,,,False,False,,,0,,,False,,5,BASHIR H,,
,0.6,,,0.4,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,3,,,2,,,0,,,0,,0,,,5,,3.6,,False,,,False,False,,,0,,,False,,5,,,
,0.6,,,0.4,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
HIST-105-300,10,,,2,,,0,,,0,,0,,,12,,3.833,,False,,,False,False,,,1,,,False,,13,LEE H,,
,0.8333,,,0.1667,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,2,,,0,,,0,,0,,,12,,3.833,,False,,,False,False,,,1,,,False,,13,,,
,0.8333,,,0.1667,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
HIST-258-300,25,,,5,,,0,,,0,,0,,,30,,3.833,,False,,,False,False,,,0,,,False,,30,VAN DE LOGT,M,
,0.8333,,,0.1667,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,25,,,5,,,0,,,0,,0,,,30,,3.833,,False,,,False,False,,,0,,,False,,30,,,
,0.8333,,,0.1667,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
POLS-206-300,17,,,6,,,3,,,0,,0,,,26,,3.538,,False,,,False,False,,,0,,,False,,26,GRAY P,,
,0.6538,,,0.2308,,,0.1154,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,17,,,6,,,3,,,0,,0,,,26,,3.538,,False,,,False,False,,,0,,,False,,26,,,
,0.6538,,,0.2308,,,0.1154,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
STLC-289-300,3,,,7,,,1,,,0,,1,,,12,,2.916,,False,,,False,False,,,0,,,False,,12,RASMUSSEN D,,
,0.25,,,0.5833,,,0.0833,,,0.0,,0.0833,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,3,,,7,,,1,,,0,,1,,,12,,2.916,,False,,,False,False,,,0,,,False,,12,,,
,0.25,,,0.5833,,,0.0833,,,0.0,,0.0833,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,103,,,32,,,7,,,0,,1,,,143,,3.63,,False,,,False,False,,,3,,,False,,146,,,
,0.7203,,,0.2238,,,0.049,,,0.0,,0.007,,,,,,,,,,,,,,,,,,,,,,
