SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,cc,TOTAL,INSTRUCTOR,ff,gg
BIOL-100-500,,62,,1,,0,,1,,2,,,66,,3.818,,0,,,False,,False,,1,,0,,,67,RAO A,,
,,0.9394,,0.0152,,0.0,,0.0152,,0.0303,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,62,,1,,0,,1,,2,,,66,,3.818,,0,,,False,,False,,1,,0,,,67,,,
,,0.9394,,0.0152,,0.0,,0.0152,,0.0303,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-501,,6,,6,,7,,2,,1,,,22,,2.636,,0,,,False,,False,,2,,0,,,24,WINEMILLER,,L
,,0.2727,,0.2727,,0.3182,,0.0909,,0.0455,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-502,,7,,7,,6,,1,,0,,,21,,2.952,,0,,,False,,False,,3,,0,,,24,WINEMILLER,,L
,,0.3333,,0.3333,,0.2857,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-503,,1,,9,,11,,3,,0,,,24,,2.333,,0,,,False,,False,,0,,0,,,24,WINEMILLER,,L
,,0.0417,,0.375,,0.4583,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-504,,2,,12,,3,,2,,1,,,20,,2.6,,0,,,False,,False,,4,,0,,,24,WINEMILLER,,L
,,0.1,,0.6,,0.15,,0.1,,0.05,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-505,,8,,6,,4,,0,,0,,,18,,3.222,,0,,,False,,False,,6,,0,,,24,WINEMILLER,,L
,,0.4444,,0.3333,,0.2222,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-506,,8,,6,,6,,1,,0,,,21,,3.0,,0,,,False,,False,,3,,0,,,24,WINEMILLER,,L
,,0.381,,0.2857,,0.2857,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-507,,11,,4,,4,,2,,0,,,21,,3.142,,0,,,False,,False,,2,,0,,,23,WINEMILLER,,L
,,0.5238,,0.1905,,0.1905,,0.0952,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-508,,5,,4,,8,,1,,0,,,18,,2.722,,0,,,False,,False,,6,,0,,,24,WINEMILLER,,L
,,0.2778,,0.2222,,0.4444,,0.0556,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-509,,3,,9,,5,,2,,1,,,20,,2.55,,0,,,False,,False,,4,,0,,,24,WINEMILLER,,L
