SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,cc,TOTAL,ee,INSTRUCTOR,gg
BIOL-107-501,,6,,4,,7,,0,,0,,,17,,2.941,,0,,,False,,False,4,,,,False,,21,,WINEMILLER,L
,,0.3529,,0.2353,,0.4118,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-502,,5,,8,,7,,2,,1,,,23,,2.608,,0,,,False,,False,0,,,,False,,23,,WINEMILLER,L
,,0.2174,,0.3478,,0.3043,,0.087,,0.0435,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-503,,6,,7,,8,,0,,1,,,22,,2.772,,0,,,False,,False,2,,,,False,,24,,WINEMILLER,L
,,0.2727,,0.3182,,0.3636,,0.0,,0.0455,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-504,,1,,2,,2,,1,,1,,,7,,2.142,,0,,,False,,False,5,,,,False,,12,,WINEMILLER,L
,,0.1429,,0.2857,,0.2857,,0.1429,,0.1429,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-505,,3,,9,,6,,0,,0,,,18,,2.833,,0,,,False,,False,6,,,,False,,24,,WINEMILLER,L
,,0.1667,,0.5,,0.3333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-506,,4,,9,,7,,0,,0,,,20,,2.85,,0,,,False,,False,4,,,,False,,24,,WINEMILLER,L
,,0.2,,0.45,,0.35,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-507,,4,,10,,7,,0,,0,,,21,,2.857,,0,,,False,,False,3,,,,False,,24,,WINEMILLER,L
,,0.1905,,0.4762,,0.3333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-508,,1,,7,,10,,1,,4,,,23,,2.0,,0,,,False,,False,1,,,,False,,24,,WINEMILLER,L
,,0.0435,,0.3043,,0.4348,,0.0435,,0.1739,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-509,,1,,12,,3,,2,,0,,,18,,2.666,,0,,,False,,False,6,,,,False,,24,,WINEMILLER,L
,,0.0556,,0.6667,,0.1667,,0.1111,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-510,,6,,5,,1,,2,,0,,,14,,3.071,,0,,,False,,False,7,,,,False,,21,,WINEMILLER,L
,,0.4286,,0.3571,,0.0714,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-511,,7,,3,,8,,0,,0,,,18,,2.944,,0,,,False,,False,5,,,,False,,23,,WINEMILLER,L
,,0.3889,,0.1667,,0.4444,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-512,,6,,5,,7,,1,,0,,,19,,2.842,,0,,,False,,False,5,,,,False,,24,,WINEMILLER,L
,,0.3158,,0.2632,,0.3684,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,50,,81,,73,,9,,7,,,220,,2.718,,0,,,False,,False,48,,,,False,,268,,,
,,0.2273,,0.3682,,0.3318,,0.0409,,0.0318,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,INSTRUCTOR,,
BIOL-111-201,,6,,8,,1,,0,,0,,,15,,3.333,,0,,,False,,False,,4,,0,,,19,RYAN K,,
,,0.4,,0.5333,,0.0667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-202,,8,,7,,2,,1,,2,,,20,,2.9,,0,,,False,,False,,0,,0,,,20,RYAN K,,
,,0.4,,0.35,,0.1,,0.05,,0.1,,,,,,,,,,,,,,,,,,,,,,
