SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,cc,dd,X    TOTAL,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm
BIOL-107-501,,,2,,7,,10,,4,,,0,,23,,,,2.304,,0,,,0,,,0,,,1,,,0,,24,,,WINEMILLER L,
,,,0.087,,0.3043,,0.4348,,0.1739,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-502,,,7,,3,,9,,1,,,0,,20,,,,2.8,,0,,,0,,,0,,,1,,,0,,21,,,WINEMILLER L,
,,,0.35,,0.15,,0.45,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-503,,,7,,7,,3,,0,,,0,,17,,,,3.235,,0,,,0,,,0,,,3,,,0,,20,,,WINEMILLER L,
,,,0.4118,,0.4118,,0.1765,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-504,,,6,,9,,6,,1,,,0,,22,,,,2.909,,0,,,0,,,0,,,0,,,0,,22,,,WINEMILLER L,
,,,0.2727,,0.4091,,0.2727,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-505,,,7,,5,,10,,1,,,1,,24,,,,2.666,,0,,,0,,,0,,,0,,,0,,24,,,WINEMILLER L,
,,,0.2917,,0.2083,,0.4167,,0.0417,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-507,,,4,,6,,3,,4,,,2,,19,,,,2.315,,0,,,0,,,0,,,3,,,0,,22,,,WINEMILLER L,
,,,0.2105,,0.3158,,0.1579,,0.2105,,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-508,,,2,,6,,4,,0,,,0,,12,,,,2.833,,0,,,0,,,0,,,2,,,0,,14,,,WINEMILLER L,
,,,0.1667,,0.5,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-509,,,1,,4,,2,,1,,,1,,9,,,,2.333,,0,,,0,,,0,,,0,,,0,,9,,,WINEMILLER L,
,,,0.1111,,0.4444,,0.2222,,0.1111,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-510,,,5,,1,,6,,2,,,0,,14,,,,2.642,,0,,,0,,,0,,,0,,,0,,14,,,WINEMILLER L,
,,,0.3571,,0.0714,,0.4286,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,41,,48,,53,,14,,,4,,160,,,,2.675,,0,,,0,,,0,,,10,,,0,,170,,,,
,,,0.2563,,0.3,,0.3313,,0.0875,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-501,,,10,,6,,4,,1,,,2,,23,,,,2.913,,0,,,0,,,0,,,1,,,0,,24,,,LEBOEUF B,
,,,0.4348,,0.2609,,0.1739,,0.0435,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-502,,,12,,7,,3,,0,,,0,,22,,,,3.409,,0,,,0,,,0,,,2,,,0,,24,,,LEBOEUF B,
,,,0.5455,,0.3182,,0.1364,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
