SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,TOTAL,INSTRUCTOR,ee
BIOL-100-500,,30,,0,,0,,0,,0,,,30,,0.0,,0,,,False,,False,,0,,0,,30,RAO A,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,30,,0,,0,,0,,0,,,30,,Error,,0,,,False,,False,,0,,0,,30,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-107-501,,5,,9,,7,,1,,0,,,22,,2.818,,0,,,False,,False,,0,,0,,22,WINEMILLER,L
,,0.2273,,0.4091,,0.3182,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-107-502,,5,,5,,9,,1,,1,,,21,,2.571,,0,,,False,,False,,1,,0,,22,WINEMILLER,L
,,0.2381,,0.2381,,0.4286,,0.0476,,0.0476,,,,,,,,,,,,,,,,,,,,
BIOL-107-503,,7,,8,,1,,0,,1,,,17,,3.176,,0,,,False,,False,,0,,0,,17,WINEMILLER,L
,,0.4118,,0.4706,,0.0588,,0.0,,0.0588,,,,,,,,,,,,,,,,,,,,
BIOL-107-504,,0,,3,,3,,1,,2,,,9,,1.777,,0,,,False,,False,,0,,0,,9,WINEMILLER,L
,,0.0,,0.3333,,0.3333,,0.1111,,0.2222,,,,,,,,,,,,,,,,,,,,
BIOL-107-505,,3,,3,,2,,1,,1,,,10,,2.6,,0,,,False,,False,,0,,0,,10,WINEMILLER,L
,,0.3,,0.3,,0.2,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,
BIOL-107-506,,1,,8,,7,,2,,2,,,20,,2.2,,1,,,False,,False,,0,,0,,21,WINEMILLER,L
,,0.05,,0.4,,0.35,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,
BIOL-107-507,,6,,4,,5,,1,,1,,,17,,2.764,,0,,,False,,False,,0,,0,,17,WINEMILLER,L
,,0.3529,,0.2353,,0.2941,,0.0588,,0.0588,,,,,,,,,,,,,,,,,,,,
BIOL-107-508,,3,,2,,1,,1,,1,,,8,,2.625,,0,,,False,,False,,0,,0,,8,WINEMILLER,L
,,0.375,,0.25,,0.125,,0.125,,0.125,,,,,,,,,,,,,,,,,,,,
BIOL-107-509,,9,,6,,3,,1,,0,,,19,,3.21,,0,,,False,,False,,3,,0,,22,WINEMILLER,L
,,0.4737,,0.3158,,0.1579,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-107-510,,1,,3,,1,,2,,0,,,7,,2.428,,0,,,False,,False,,1,,0,,8,WINEMILLER,L
,,0.1429,,0.4286,,0.1429,,0.2857,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,40,,51,,39,,11,,9,,,150,,2.68,,1,,,False,,False,,5,,0,,156,,
,,0.2667,,0.34,,0.26,,0.0733,,0.06,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,
BIOL-111-501,,4,,7,,7,,1,,1,,,20,,2.6,,0,,,False,,False,,0,,0,,20,FLETCHER S,
,,0.2,,0.35,,0.35,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,
BIOL-111-502,,5,,7,,11,,1,,0,,,24,,2.666,,0,,,False,,False,,0,,0,,24,FLETCHER S,
,,0.2083,,0.2917,,0.4583,,0.0417,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-503,,4,,5,,5,,2,,2,,,18,,2.388,,0,,,False,,False,,0,,0,,18,FLETCHER S,
,,0.2222,,0.2778,,0.2778,,0.1111,,0.1111,,,,,,,,,,,,,,,,,,,,
BIOL-111-504,,6,,4,,2,,1,,0,,,13,,3.153,,0,,,False,,False,,1,,0,,14,FLETCHER S,
,,0.4615,,0.3077,,0.1538,,0.0769,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-505,,7,,6,,5,,0,,0,,,18,,3.111,,0,,,False,,False,,0,,0,,18,FLETCHER S,
,,0.3889,,0.3333,,0.2778,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
BIOL-111-506,,4,,10,,5,,1,,0,,,20,,2.85,,0,,,False,,False,,0,,0,,20,FLETCHER S,
