SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,cc,dd,X    TOTAL,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm
BIOL-107-501,,,5,,3,,11,,1,,,1,,21,,,,2.476,,0,,,0,,,0,,,3,,,0,,24,,,WINEMILLER L,
,,,0.2381,,0.1429,,0.5238,,0.0476,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-502,,,5,,7,,4,,5,,,0,,21,,,,2.571,,0,,,0,,,0,,,3,,,0,,24,,,WINEMILLER L,
,,,0.2381,,0.3333,,0.1905,,0.2381,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-503,,,6,,8,,6,,2,,,0,,22,,,,2.818,,0,,,0,,,0,,,1,,,0,,23,,,WINEMILLER L,
,,,0.2727,,0.3636,,0.2727,,0.0909,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-504,,,3,,9,,7,,3,,,1,,23,,,,2.434,,0,,,0,,,0,,,1,,,0,,24,,,WINEMILLER L,
,,,0.1304,,0.3913,,0.3043,,0.1304,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-505,,,6,,6,,3,,2,,,1,,18,,,,2.777,,0,,,0,,,0,,,5,,,0,,23,,,WINEMILLER L,
,,,0.3333,,0.3333,,0.1667,,0.1111,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-506,,,4,,7,,7,,1,,,2,,21,,,,2.476,,0,,,0,,,0,,,3,,,0,,24,,,WINEMILLER L,
,,,0.1905,,0.3333,,0.3333,,0.0476,,,0.0952,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-507,,,4,,10,,7,,2,,,0,,23,,,,2.695,,0,,,0,,,0,,,1,,,0,,24,,,WINEMILLER L,
,,,0.1739,,0.4348,,0.3043,,0.087,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-508,,,8,,6,,6,,0,,,1,,21,,,,2.952,,0,,,0,,,0,,,3,,,0,,24,,,WINEMILLER L,
,,,0.381,,0.2857,,0.2857,,0.0,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,41,,56,,51,,16,,,6,,170,,,,2.647,,0,,,0,,,0,,,20,,,0,,190,,,,
,,,0.2412,,0.3294,,0.3,,0.0941,,,0.0353,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-501,,,7,,5,,7,,1,,,0,,20,,,,2.9,,0,,,0,,,0,,,4,,,0,,24,,,WAN W,
