SECTION,A,c,B,e,C,g,D,i,F,k,A_2,- F,n,GPA,p,I,r,S,t,U,v,Q,x,y,X,aa,TOTAL   INSTRUCTOR,cc
BIMS-485-343,11,,0,,0,,0,,0,,,11,,4.0,,0,,,False,,False,,0,,0,,11 HENNESSY K,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,0,,0,,0,,0,,,11,,4.0,,0,,,False,,False,,0,,0,,11,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,11,,0,,0,,0,,0,,,11,,4.0,,0,,,False,,False,,0,,0,,11,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR
VIBS-305-301,11,,17,,8,,3,,1,,,40,,2.85,,0,,,False,,False,,3,,0,,43,HERMAN C
,0.275,,0.425,,0.2,,0.075,,0.025,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,17,,8,,3,,1,,,40,,2.85,,0,,,False,,False,,3,,0,,43,
,0.275,,0.425,,0.2,,0.075,,0.025,,,,,,,,,,,,,,,,,,,
VIBS-447-150,25,,0,,0,,0,,0,,,25,,4.0,,0,,,False,,False,,0,,0,,25,WALTZ M
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,25,,0,,0,,0,,0,,,25,,4.0,,0,,,False,,False,,0,,0,,25,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
VIBS-601-301,2,,3,,0,,0,,0,,,5,,3.4,,0,,,False,,False,,1,,0,,6,HERMAN C
,0.4,,0.6,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,2,,3,,0,,0,,0,,,5,,3.4,,0,,,False,,False,,1,,0,,6,
,0.4,,0.6,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
VIBS-615-301,21,,2,,1,,1,,0,,,25,,3.72,,0,,,False,,False,,0,,0,,25,BUDKE C
,0.84,,0.08,,0.04,,0.04,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,21,,2,,1,,1,,0,,,25,,3.72,,0,,,False,,False,,0,,0,,25,
,0.84,,0.08,,0.04,,0.04,,0.0,,,,,,,,,,,,,,,,,,,
VIBS-616-101,6,,0,,0,,0,,0,,,6,,4.0,,0,,,False,,False,,0,,0,,6,ABBOTT L
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,0,,0,,0,,0,,,6,,4.0,,0,,,False,,False,,0,,0,,6,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
VIBS-655-301,5,,1,,0,,0,,0,,,6,,3.833,,0,,,False,,False,,0,,0,,6,GASTEL B
,0.8333,,0.1667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,1,,0,,0,,0,,,6,,3.833,,0,,,False,,False,,0,,0,,6,
,0.8333,,0.1667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR
VIBS-685-314,6,,0,,0,,0,,0,,,6,,4.0,,0,,,False,,False,,0,,0,,6,WELSH C
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,0,,0,,0,,0,,,6,,4.0,,0,,,False,,False,,0,,0,,6,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
VIBS-689-100,5,,0,,0,,0,,0,,,5,,4.0,,0,,,False,,False,,0,,0,,5,ABBOTT L
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,0,,0,,0,,0,,,5,,4.0,,0,,,False,,False,,0,,0,,5,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,81,,23,,9,,4,,1,,,118,,3.425,,0,,,False,,False,,4,,0,,122,
,0.6864,,0.1949,,0.0763,,0.0339,,0.0085,,,,,,,,,,,,,,,,,,,
