,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF ENGINEERING,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
ENGR-689-30H,0,0,0,0,25,3.96,0,0,0,0,25,SEARS N
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,0,0,0,0,25,3.96,0,0,0,0,25,
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,0,0,0,0,25,3.96,0,0,0,0,25,
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,0,0,0,0,25,3.96,0,0,0,0,25,
,0.00%,0.00%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
IMED-800-310,2,19,0,0,21,3.097,22,0,0,0,43,CLEWING J
,9.52%,90.48%,0.00%,0.00%,,,,,,,,
IMED-800-31D,0,10,0,0,10,3,3,0,0,0,13,CLEWING J
,0.00%,100,0.00%,0.00%,,,,,,,,
IMED-800-31H,2,9,0,0,11,3.181,2,0,0,0,13,CLEWING J
,18.18%,81.82%,0.00%,0.00%,,,,,,,,
IMED-800-31T,1,7,0,0,8,3.125,6,0,0,0,14,CLEWING J
,12.50%,87.50%,0.00%,0.00%,,,,,,,,
IMED-800-32D,5,7,0,0,12,3.416,0,0,0,0,12,CLEWING J
,41.67%,58.33%,0.00%,0.00%,,,,,,,,
IMED-800-32H,6,5,0,0,11,3.545,0,0,0,0,11,CLEWING J
,54.55%,45.45%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,16,57,0,0,73,3.24,33,0,0,0,106,
,21.92%,78.08%,0.00%,0.00%,,,,,,,,
MEID-608-300,14,81,2,0,97,3.103,0,0,0,0,97,WINZER-SERHAN U
,14.43%,83.51%,2.06%,0.00%,,,,,,,,
MEID-608-30H,4,21,0,0,25,3.16,0,0,0,0,25,TSAI R
,16.00%,84.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,18,102,2,0,122,3.114,0,0,0,0,122,
,14.75%,83.61%,1.64%,0.00%,,,,,,,,
MEID-616-300,15,80,0,2,97,3.092,0,0,0,0,97,HEIN T
,15.46%,82.47%,0.00%,2.06%,,,,,,,,
MEID-616-30H,4,21,0,0,25,3.16,0,0,0,0,25,TONG C
,16.00%,84.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,19,101,0,2,122,3.106,0,0,0,0,122,
,15.57%,82.79%,0.00%,1.64%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MEID-617-300,14,80,3,0,97,3.082,0,0,0,0,97,CANNON C
,14.43%,82.47%,3.09%,0.00%,,,,,,,,
MEID-617-30H,4,20,0,0,24,3.166,1,0,0,0,25,ZAWIEJA D
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,18,100,3,0,121,3.099,1,0,0,0,122,
,14.88%,82.64%,2.48%,0.00%,,,,,,,,
MEID-618-31B,14,81,0,0,95,3.147,1,0,0,0,96,MAXWELL S
,14.74%,85.26%,0.00%,0.00%,,,,,,,,
MEID-618-31H,6,19,0,0,25,3.24,0,0,0,0,25,CRISCIONE J
,24.00%,76.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,20,100,0,0,120,3.166,1,0,0,0,121,
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
MEID-620-30B,15,81,0,0,96,3.156,1,0,0,0,97,FLOREZ ARANGO J
,15.63%,84.38%,0.00%,0.00%,,,,,,,,
MEID-620-30H,4,21,0,0,25,3.16,0,0,0,0,25,FLOREZ ARANGO J
,16.00%,84.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,19,102,0,0,121,3.157,1,0,0,0,122,
,15.70%,84.30%,0.00%,0.00%,,,,,,,,
MFCM-800-30B,10,10,0,0,20,3.508,23,0,0,0,43,VIA R
,50.00%,50.00%,0.00%,0.00%,,,,,,,,
MFCM-800-31D,0,6,0,0,6,3,0,0,0,0,6,VIA R
,0.00%,100,0.00%,0.00%,,,,,,,,
MFCM-800-31H,0,5,0,0,5,3,0,0,0,2,7,VIA R
,0.00%,100,0.00%,0.00%,,,,,,,,
MFCM-800-31T,1,4,0,0,5,3.2,0,0,0,0,5,VIA R
,20.00%,80.00%,0.00%,0.00%,,,,,,,,
,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,Professional Medicine,,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
