,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR,,,,,,,,,,
COLLEGE:,,,,,,,,,,,,,,
DEPARTMENT:,,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
,0,0,0,0,0,0,0,0,0,0,0,0,
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,0,0,0,0,0,0 0.000,0,0,0,0,0,0,
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
